,0,1,2,3,4,5
513,,,,,and attempted to go after that other student in an aggressive manner. In order to maintain safety of,
514,,,Small child restraint 2,,"student, staff, and others in the hall, two staff members placed student in a 2 person small child hold on",
515,2016-2017 Y,11/14/2016,person hold,Classroom,"the floor in the hallway. The restraint lasted from 8:34-8:37am. After the hold, student walked up the hall",
516,,,Small child restraint 2,,"Student became upset when asked to sit minutes for running out of the classroom.  She threw her chair,",
517,2016-2017 Y,12/1/2016,person hold,Classroom,"tried to run out of the room, yelled at staff, then kicked staff.  Staff put student in 2 person hold.  Once",
518,,,Small child restraint 2,,Put hands on another student.  Refused to do work.  Leaving class without permission.  She was put into a,
519,2016-2017 Y,12/12/2016,person hold,Classroom,small child restraint 2 person hold for 3 minutes.,
520,,,Small child restraint 1,,,
521,2016-2017 Y,6/21/2017,person hold,Calm Room,xxx was aggressive with staff by kicking them. I placed her in a small child restraint for 4 minutes,
522,,,Small child restraint 1,,xxx was making threats towards staff so she was placed in a small child hold. xxx was upset at another,
523,2016-2017 Y,12/19/2016,person hold,Calm Room,student and tried to physically assult the student.,
524,,,,,xxx did not want to leave gym. She was laying on a mat in the corner with another student. Other staff,
525,,,Small child restraint 1,,called for support to help xxx transition. Staff was walking with xxx who continued to be defiant. xxx began,
526,2016-2017 Y,2/1/2017,person hold,Classroom,"to hit staff. At this point staff utilized TCI intervention applying a single person small child hold, which lasted",
527,,,Small child restraint 1,,xxx was in class trying to go after another student. xxx was asked to take time away in the calm room .,
528,2016-2017 Y,2/6/2017,person hold,Calm Room,When xxx got to the cam room door she started punching staff . I then placed xxx in a small child hold.,
529,,,,,Student took her baby doll out of her bookbag and was asked to put it back.  Student ran away from staff to,
530,,,,,"another part of the school.  When staff caught up and asked student to come back to the classroom, she",
531,,,Small child restraint 2,,"ran away from staff again, running to the gym where the rest of the class was.  She was not permitted to",
532,2016-2017 Y,9/19/2016,person hold,Hallway,"enter the gym until the baby doll was put away.  She began hitting and pinching staff, trying to bite.  Staff",
533,,,,StudentDiscipline_L,,
534,SchoolYear BIP EffectiveIncidentDate,,Disposition,ocation,StudentDiscipline_Description,
535,,,,,Student refused to go to her math center.  She began playing keep away with staff.  Staff caught her and,
536,,,Small child restraint 1,,"tried to sit with her to calm her down, which did not work.  Student started running around the classroom.",
537,2016-2017 Y,9/20/2016,person hold,Classroom,Staff put her in a one person small child restraint briefly.  Student was given the choice to go for a walk with,
538,,,,,Student refused give up play-doh when directed.  She pushed staff out of the way and started running,
539,,,Small child restraint 2,,around the room while other students were trying to work.  Staff put her in a 2 person small child restraint.,
540,2016-2017 Y,9/21/2016,person hold,Classroom,"Student was able to calm down enough to be released, but still needed to be removed from the classroom",
541,,,,,Student did not want to transition to the next math center.  She started running around the classroom with,
542,,,Small child restraint 2,,"a bee buck in her mouth.  She tried to climb on window sill, but was stopped by staff.  Student tried to hit",
543,2016-2017 Y,9/27/2016,person hold,Classroom,"staff, so staff put student in a 2 person small child restraint.  Student was able to calm down after only a",
544,,,Small child restraint 1,,Student became upset when staff tried to help her open her yogurt.  She began running around the,
545,2016-2017 Y,9/28/2016,person hold,Classroom,"classroom, crawling under desks and tables.  Staff put her in a one person small child restraint.  Student",
546,,,Small child restraint 2,,xxx was running around the classroom and climbing on the window cabinet and was kicking staff. She was,
547,2016-2017 Y,9/28/2016,person hold,Classroom,put into a small child restraint.,
548,,,,,"Student became upset because staff had to return her library books.  She flicked water at staff, then began",
549,,,Small child restraint 2,,"wiping her hands all over staff, grabbing at arms and shirt.  When asked to give personal space, student",
550,2016-2017 Y,9/28/2016,person hold,Classroom,began hitting staff.  Staff put student in a 2 person small child restraint.  Student spit at staff and tried to,
551,,,Small child restraint 2,,"xxx was in the calm room with two staff members. She started kicking, screaming and punching staff. She",
552,2016-2017 Y,9/28/2016,person hold,Calm Room,was then put into a two person small child hold for 7 mins. she was released and remained in the calm,
553,,,,,Student refused to leave because she wasn't done with her project.  She wanted tape from the teacher's,
554,,,Small child restraint 2,,"desk. The teacher said no, so student ran to desk and began grabbing for the tape, knocking over",
555,2016-2017 Y,9/29/2016,person hold,Other,everything on the desk in the process.  Staff put student in a 2 person small child restraint.  Student tried to,
556,,,,,"Student was transitioning from DEAR to math.  She was directed to her desk, but instead started running",
557,,,Small child restraint 2,,"around the room.  She took a fan from another student's desk and started fanning people, hitting them",
558,2016-2017 Y,9/29/2016,person hold,Classroom,"with the fan.  Staff put student in a 2 person small child hold.  Once calm, student was able to go to safely",
559,,,Small child restraint 2,,xxx was running around the classroom and hitting staff she was put into a two person small child hold for 8,
560,2016-2017 Y,9/30/2016,person hold,Classroom,mins. She then was taken to the support area to.,
561,,,Small child restraint 2,,"xxx was suppose to sit in her chair to eat her lunch. She was instead running around the classroom, hitting",
562,2016-2017 Y,10/5/2016,person hold,Classroom,and kicking the teacher. She also grabbed a plastic knife and was trying to hit the teacher with it. She was,
563,,,Small child restraint 2,,,
564,2016-2017 Y,10/6/2016,person hold,Classroom,xxx refused to do her class work during center time.  Became very aggressive with the staff.,
565,,,StudentDiscipline_L,,,
566,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
567,,,Small child restraint 2,xxx was in the hallway refusing to listening to directions and attempting to run away outside and,,
568,2016-2017 Y,10/6/2016,"person hold
Hallway",throughout the hallways. She was put into a two person small child hold for seven mins. She then went into,,
569,,,,Student saw something she wanted from B-Mart.  It was not her turn for B-Mart and she refused to leave,,
570,,,,"the cart when directed.  She ran down the hallway, got on the bike by the OT room and tried to ride away",,
571,,,,on it.  Staff caught her and directed her to walk with staff back to the support area.  Student refused and,,
572,,,Small child restraint 1,started running back.  Staff caught her and put her in a one person small child hold at 1:16pm for 15,,
573,2016-2017 Y,10/14/2016,"person hold
Hallway","minutes with the nurse watching.  Student coughed several times during the hold, but the nurse checked",,
574,,,Small child restraint 1,The student refused to complete her work.  She began to move the desk and chair in the support room.,,
575,2016-2017 Y,10/17/2016,"person hold
Calm Room",She put hands on staff and ran out of the support room.,,
576,,,,Student was completing a math activity when she suddenly stood up and ran out of the support area back,,
577,,,,to class.  She grabbed a book from class and was redirected back to the support area.  When told she had,,
578,,,,"to finish her activity before reading her book, she climbed on top of the desk and grabbed scissors from on",,
579,,,Small child restraint 2,top of the refrigerator.  She jumped down and came at staff with scissors in one hand and a spork from,,
580,2016-2017 Y,10/21/2016,"person hold
Other","lunch in the other.  Staff took the scissors from her, student poked staff with the spork.  Staff removed the",,
581,,,,While xxx was completing academic work she became frustrated and began to hit staff. She was disruptive,,
582,,,Small child restraint 1,and had difficulty following expectations or staff support. xxx continued to become physically aggressive,,
583,2016-2017 Y,11/4/2016,"person hold
Therapy Room","toward adults and at this point staff utilized a TCI small child single person hold, which lasted four minutes",,
584,,,Small child restraint 1,"Student refused to transition to next math center.  She ran around the classroom, touched the smart",,
585,2016-2017 Y,11/14/2016,"person hold
Classroom","board, pinched and hit staff.  Staff put her in a one person small child hold for six minutes.  Once calm,",,
586,,,Small child restraint 2,Student hit staff when staff tried to direct student out of classroom. Student was put two person small child,,
587,2016-2017 Y,11/16/2016,"person hold
Classroom","hold for 4 minutes. Once calm, student was able to stand up and continue to the therapy room.",,
588,,,Small child restraint 2,Student was working on worksheets in therapy room with staff. Student pulled staff's hair and would not,,
589,2016-2017 Y,11/16/2016,"person hold
Therapy Room","let go. Student was put in 2 person small child hold for 15 minutes. During the hold, student spit at staff.",,
590,,,Small child restraint 2,xxx was laying on the floor not following directions. She  was given the direction to get up off of the floor.,,
591,2016-2017 Y,11/16/2016,"person hold
Classroom",xxx started hitting an adult three times.  xxx was put into a two person small child hold for 6 mins.,,
592,,,,"two person hold for 5 minutes. Once student was calm, she relaxed in the corner until it was time to go",,
593,,,Small child restraint 2,home.,,
594,2016-2017 Y,11/17/2016,"person hold
Classroom",,,
595,,,,Student did not want to transition to a math app on iPad.  She began crawling around on the floor and,,
596,,,Small child restraint 2,"under desks.  When staff redirected her, she tried to hit staff.  Staff put her in a two person small child hold.",,
597,2016-2017 Y,11/22/2016,"person hold
Classroom","Student tried to bite staff, got her hood and refused to let go.  The nurse was called to watch, student",,
598,,,StudentDiscipline_L,,,
599,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
600,,,Small child restraint 1,The student was kicking at punching two staff members in the classroom. The client was in a blackout,,
601,2016-2017 Y,12/1/2016,"person hold
Classroom",mode. The client was let go after two minutes  of being in a restraint . The client continued to throw stuff,,
602,,,,Student was doing a movement break in the classroom. She became distracted and started touching the,,
603,,,Small child restraint 2,ipad and throwing things. Staff tried to redirect her. She hit and kicked staff. Staff put student in a small,,
604,2016-2017 Y,12/1/2016,"person hold
Classroom",child two person hold for 2 minutes. Student said she had to go to the bathroom. She urinated in her pants,,
605,,,Small child restraint 2,xxx was kicking a peer. Staff are unsure why she kicked the peer. She then was put in a two person small,,
606,2016-2017 Y,12/2/2016,"person hold
Classroom",child hold. Once calm she was able to get on the bus.,,
607,,,Small child restraint 2,Student was running and hitting staff. Another staff put student in small child 2 person hold for 2 minutes.,,
608,2016-2017 Y,12/6/2016,"person hold
Hallway",xxx was able to calm down and she was seen by the nurse.,,
609,,,Small child restraint 2,Student ran out of the classroom. Tried to run out of school. Another staff put student in hold for 5,,
610,2016-2017 Y,12/8/2016,"person hold
Hallway",minutes. Student was seen  by nurse. Student continued crying and sliding on the floor. Student eventually,,
611,,,Small child restraint 2,xxx was running around the classroom and flipping chairs  because he was refusing to work. He also was,,
612,2016-2017 Y,12/12/2016,"person hold
Classroom",swearing across the room. He then started hitting and kicking staff. He was put in a two person small child,,
613,,,Small child restraint 1,"Student was prompted to do math.  Student crawled onto staff's lap, grabbed staff's hair, and yanked.  Staff",,
614,2016-2017 Y,12/19/2016,"person hold
Other",put student in a one person small child hold.  Staff released student after a few minutes when student,,
615,,,Small child restraint 2,Student was getting ready to leave school in the support room. Student was upset because she had to leave,,
616,2016-2017 Y,12/21/2016,"person hold
Other",her pencil box at school. Student hit and kicked staff. Another staff put student in two person small child,,
617,,,,Another adult asked me to assist xxx in moving as he needed the blue/yellow mats for another child who,,
618,,,,"was not doing well. xxx refused to get off the blue/yellow mats, or to move out of the area that was",,
619,,,,"needed for the other child.  Each time xxx was approached to move she cried, and swung her body around",,
620,,,,"the room.  She tried to run out of the support are. Repeated attempts to get her to sit on a soft pad, to sit",,
621,,,,"in a chair, to stay still were unsuccessful.  xxx continue to flail and knock into appliances, copier, tables, the",,
622,,,,"caulk board, etc.  For her safety and to aide her in regaining control a small child was attempted.  All",,
623,,,Small child restraint 2,attempts to apply a small child on xxx were unsuccessful. She wiggled out of each attempt.  Another adult,,
624,2016-2017 Y,5/11/2017,"person hold
Other","from our class came in and applied the small child. I aided the staff in lowering herself to the floor, and I",,
625,,,,"xxx refused to follow directions, was unsafe and running around the classroom.  She threw an object at",,
626,,,,staff member's face and continued to run around the room and under tables.  She was then put into a 2,,
627,2016-2017 Y,,"Classroom
5/24/2017 2 person seated hold",person hold for two minutes.  She was released but could not maintain safety so was put into another 2,,
628,,,Small child restraint 2,xxx began to run around not following directions or being safe while in classroom.  She was hitting staff and,,
629,2016-2017 Y,6/1/2017,"person hold
Classroom",then put into a 2 person hold for 3 mins.  She began to calm down shortly after.,,
630,,,StudentDiscipline_L,,,
631,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
632,,,,Student was in the support room and needed to go to the bathroom.  Staff walked her down to the,,
633,,,,"classroom to go to the bathroom.  After going, she refused to go back to the support area and tried to run",,
634,,,Small child restraint 2,"from staff.  Staff held her hand, so she tried to crawl down the hallway.  She hit her head on the ground",,
635,2016-2017 Y,6/19/2017,"person hold
Hallway",several times.  Staff put her in a 2 person small child hold for 3 minutes.  It was discovered that the student,,
636,,,,"xxx was grabbing onto another student and kicking them in  the shins, once an adult was able to use",,
637,,,Small child restraint 1,proximity to remove the other student from the situation xxx began to punch and kick adults and threaten,,
638,2016-2017 Y,11/8/2016,"person hold
Classroom","to ""kill them with his bare hands"". Due to these unsafe behaviors a TCI hold was performed, he was able to",,
639,,,,"xxx was threatening to ""Kill all of the students in the classroom"" and was trying to get to each student and",,
640,,,Small child restraint 1,punch and kick them. Staff cleared the room. He continued with these unsafe behaviors and threatening to,,
641,2016-2017 Y,11/9/2016,"person hold
Classroom","kill staff. He attempted to kick, punch, bite and slap several staff members. A one person small child hold",,
642,,,Small child restraint 1,"Due to not settling and continuation of previous unsafe behaviors, pinching, biting and kicking staff as well",,
643,2016-2017 Y,11/9/2016,"person hold
Classroom","as threatening to ""bring in a knife and kill everyone in this school""",,
644,,,Small child restraint 1,"xxx was taking time away in the support area. He became disruptive, disrespectful, began damaging",,
645,2016-2017 Y,9/23/2016,"person hold
Calm Room","property, and hitting adults. xxx attempted to run away from the support area and hit staff. At this point",,
646,,,,Student was in the empty music therapy room for a breakin an attempt to help student regain self control,,
647,,,,after leaving class for running around the room and throwing a chair to avoid doing classwork. While in the,,
648,,,Small child restraint 1,"therapy room, student refused to sit calmly and tried running around and jumping on the wall to which",,
649,2016-2017 Y,12/13/2016,"person hold
Therapy Room",staff warmed him to stop lest he hurt himself. He refused to listen and tried to hit a staff member as well as,,
650,,,Small child restraint 1,xxx became aggressive towards staff while taking time out in the hallway. xxx was placed into s small child,,
651,2016-2017 Y,12/21/2016,"person hold
Hallway",restraint which lasted for 3 minutes,,
652,,,,xxx was angry that he had to wait several minutes before beginning his earned free time. He picked up the,,
653,,,Small child restraint 1,"chair he was sitting in and threw it toward the middle of the classroom. The class was cleared, xxx",,
654,2016-2017 Y,1/19/2017,"person hold
Classroom","continued to be unsafe trying to run around the room and throw other items, he was placed in a small child",,
655,,,,xxx was angry that he had to wait several minutes before beginning his earned free time. He picked up the,,
656,,,,"chair he was sitting in and threw it toward the middle of the classroom. The class was cleared, xxx",,
657,2016-2017 Y,1/19/2017 Supine Hold,Classroom,"continued to be unsafe trying to run around the room and throw other items, he was placed in a small child",,
658,,,,Student was out of the classroom due to behaviors and was unable to rejoin class until student accepted,,
659,,,,"responcibility for his behaviors. While in a separate room to regain control, student began to ignore",,
660,,,,directions and lifting metal chairs over his head despite being told not to and almost dropping the chairs on,,
661,,,Small child restraint 1,his head. He was warned again but did not listen and continued his behavior. Student was unruly at this,,
662,2016-2017 Y,1/20/2017,"person hold
Other","point and had no control over his body, running around the room and being very unsafe. Student was",,
663,,,StudentDiscipline_L,,,
664,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
665,,,Small child restraint 1,xxx was struggling making safe choices while in the music therapy room. He was being destructive to school,,
666,2016-2017 Y,1/20/2017,"person hold
Other","property and physically aggressive to adults. At this time staff applied a TCI single person small child hold,",,
667,,,,Student was upset about not finishing his work before moving on to the next activity. Student was,,
668,,,,reminded he could finish his work later that day but refused to cooperate and move on to the next lesson.,,
669,,,Small child restraint 1,Student became increasingly more aggravated and refused to take a break. He tried throwing things from,,
670,2016-2017 Y,2/9/2017,"person hold
Classroom",his desk and grabbing at staff aggressively so student was placed into a small child one person hold for his,,
671,,,,Student was upset that he did not get his afternoon free time due to his behaviors throughout the day. He,,
672,,,Small child restraint 1,began to rile himself up and kicking at his desk and chair. He was directed to regain control by taking a,,
673,2016-2017 Y,3/30/2017,"person hold
Other",break but refused and so was asked to the support area. While there he became more physical and was,,
674,,,,xxx was agitated with expectations given from the classroom staff. He attempted to run away from adults,,
675,,,,"yelling, ""I'm going to escape!"" Staff utilized physical proximity to encourage him to go into the support",,
676,,,Small child restraint 1,"area. He was able to do so, but became physically aggressive, disruptive, and destructive to school",,
677,2016-2017 Y,4/27/2017,"person hold
Calm Room",property. At this time staff conducted a TCI Single Person Small Child hold which lasted three minutes,,
678,,,,On the above date and time. The above named student became upset and started to disrupt the class. The,,
679,,,Small child restraint 1,above named student started tipping over chairs and desks. At this time the classroom was cleared. The,,
680,2016-2017 Y,5/1/2017,"person hold
Classroom",above named student began to hit staff and was placed in a small child restraint 1 person hold due to,,
681,,,,The youth was restrained by the writer after multiple attempts to for redirection and s=directive,,
682,,,Small child restraint 2,statements. The client was running around his classroom and throwing chairs in the direction of students. I,,
683,2016-2017 Y,5/3/2017,"person hold
Classroom",initiated the hold after all adults that were in the room signaled for a restraint. The restraint started at 9:59,,
684,,,Small child restraint 1,"xxx was frustrated with expectations given. He attempted to bite an adult on the leg, staff intervened and",,
685,2016-2017 Y,6/7/2017,"person hold
Calm Room","applied a TCI single person small child hold, which lasted ten minutes before he was able to comply with",,
686,,,Small child restraint 1,xxx was in the calm room when asked to sit down by staff. xxx began tipping chairs over and hitting staff. I,,
687,2016-2017 Y,6/20/2017,"person hold
Calm Room",placed xxx in a small child restraint for 2 minutes.,,
688,,,StudentDiscipline_L,,,
689,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
690,,,,"xxx was in the hallway, and overheard yelling and items crashing to the floor. xxx stepped in the door and",,
691,,,,witnessed client xxx destroying the classroom. xxx immediately asked the teacher to please take the kids in,,
692,,,,the hallway so I can manage the environment. xxx began to try to utilize some due-escalating techniques to,,
693,,,,"try to get xxx down to baseline. xxx asked xxx if he wanted to take a walk, or see his counselor. xxx begin to",,
694,,,,"state ""get the f out his face"" and he is not going anywhere. xxx begin to move around the classroom and",,
695,,,,destroy other things. Staff stayed in close proximity but also far enough due to the nature of his violent,,
696,,,,"behavior. xxx finally walked out the classroom, and walked in another classroom and continued the same",,
697,,,,behavior. xxx and other staff made multiple attempts for xxx to discontinue his violent and disruptive,,
698,,,,behavior. Once xxx left that classroomxxx felt that it was unsafe for the other students for xxx to return,,
699,,,,toward the rest of the students that was still in the hallway. xxx begin to try to push pass xxx and become,,
700,,,,physically aggressive. xxx finally makes it to the calm room. While in the calm room xxx begin to make,,
701,2016-2017 N,11/14/2016 2 person prone hold,Calm Room,threatening statements and call xxx racial slurs. xxx approached xxx and slammed the door in his face. xxx,,
702,2016-2017 N,10/20/2016 Supine Hold,Classroom,Aggression and self-injurious behavior,,
703,,,,xxx was asked to get out from underneath the the desk and when he was getting out he purposely pushed,,
704,,,Small child restraint 1,another student. xxx then started hitting staff and cursing. He walked to the hall and he then stopped and,,
705,2016-2017 Y,7/13/2016,"person hold
Classroom",refused to walk. He started becoming aggressive towards staff so xxx put him into a 1 person small child for,,
706,,,Small child restraint 1,Student was upset because I had asked him to go sit back in his chair after jumping and being in someones,,
707,2016-2017 Y,8/10/2016,"person hold
Classroom",personal space. Student then went to hit me and when I told him to leave the room he tried to kick and,,
708,,,Small child restraint 1,xxx was being disruptive in class and started yelling and screaming. He was asked to sit in the hall so he,,
709,2016-2017 Y,8/16/2016,"person hold
Classroom",could calm down. He then started threatening to punch and kick staff. He put himself in the calm room and,,
710,,,,"Student was being loud, disruptive, rude and not following gym teacher's instructions. Student was trying",,
711,,,Small child restraint 1,to grab football from gym teacher's hand; jumping and yelling at teacher. As staff approached student the,,
712,2016-2017 Y,10/31/2016,"person hold
Gymnasium",student threatened to kick staff. Student was asked to take break against wall to gain self control. Student,,
713,,,,"Student was in the cafeteria stabbing his juice with a straw, spilling the juice onto the table. Staff asked",,
714,,,Small child restraint 2,"student to stop, in which student did not. Staff removed the juice, student threatened to kick staff and",,
715,2016-2017 Y,11/2/2016,"person hold
Hallway",immediately began to kick staff. Student was asked to walk down the hallway where he continued to kick,,
716,,,Small child restraint 2,"Student was in the hallway with two staff completing missed work. Student became frustrated with work,",,
717,2016-2017 Y,11/4/2016,"person hold
Hallway",tore up paper and began to kick staff. A 2 person small child restraint was utilized for ten minutes.,,
718,,,Small child restraint 1,Student became upset and began to kick and knock over divider. Student then began to kick staff resulting,,
719,2016-2017 Y,11/4/2016,"person hold
Hallway",in a 1 person small child restraint for 8 minutes.,,
720,,,StudentDiscipline_L,,,
721,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
722,,,Small child restraint 2,Student was refusing to follow staff direction to put ipad away. Staff attempted to remove ipad from,,
723,2016-2017 Y,11/16/2016,"person hold
Classroom","student, student began to kick and hit staff. A 2 person small child restraint was used for 10 minutes.",,
724,,,Small child restraint 2,Student was eating breakfast in a space in the hallway. Student began to make a mess of breakfast and,,
725,2016-2017 Y,11/16/2016,"person hold
Hallway","threw milk at staff. Staff directed student to stop, student became physically aggressive with staff. A 2",,
726,,,Small child restraint 2,"Student was disrupting class, student was asked to stop. Student did not stop, was then asked by staff to",,
727,2016-2017 Y,11/16/2016,"person hold
Classroom",take a short break out in the hall. Student stood up and immediately began to kick staff. A 2 person small,,
728,,,,xxx was sitting quietly within the support room. As staff attempted to ask him if he was in control to talk,,
729,,,Small child restraint 1,"with them about his behaviors xxx began to physically attack staff, which resulted in him being placed in a",,
730,2016-2017 Y,11/16/2016,"person hold
Calm Room",TCI single person small child hold for four minutes. He was compliant with the letting go process and,,
731,,,,"Student was upset with breakfast choice. Student began to destroy tray, then threw breakfast on the",,
732,,,Small child restraint 2,"ground. Staff gave student appropriate time and space. Student got up and walked away after minutes,",,
733,2016-2017 Y,11/17/2016,"person hold
Cafeteria",staff followed from a distance behind student. Student turned around and began kicking staff. A 2 person,,
734,,,Small child restraint 2,Student became upset in the cafeteria. Student was prompted to walk back to the classroom twice. In the,,
735,2016-2017 Y,11/29/2016,"person hold
Hallway","hallway student was being inappropriate, began kicking and hitting staff. A 2 person small child restraint",,
736,,,,Student became upset during ELA stations and was refusing to do work. Staff attempted to give student,,
737,,,,"break and prompt him to try. Student began telling staff to ""shut up idiots"" and threaten to hit. Student",,
738,,,,moved to his desk where he began to kick and push his desk away from him. When his desk was removed,,
739,2016-2017 Y,12/14/2016 2 person seated hold,Classroom,"from in front of him student yelled and tried to kick staff. Staff moved away and student continued to kick,",,
740,,,,"Student was eating lunch and began to swear. Staff asked student to throw his apple out, student dropped",,
741,2016-2017 Y,12/14/2016 2 person seated hold,Hallway,"apple on the ground, became upset and threw his napkin at staff. Student then got up from chair and began",,
742,,,Small child restraint 2,"Student began to threaten staff by the pool area. Student was asked to keep hands and feet to staff,",,
743,2016-2017 Y,12/19/2016,"person hold
Other",student became upset and began to kick staff. A 2 person small child restraint was utilized for 15 minutes.,,
744,,,Small child restraint 2,Student was outside of the pool area (Spencerport High School). Student was upset about staff asking him,,
745,2016-2017 Y,12/19/2016,"person hold
Other",to put coat on. Student became upset and began to kick and attack staff with coat. A 2 person small child,,
746,,,,Student had completed his work but began to stab at his paper with his pencil. Student was prompted to,,
747,,,Small child restraint 1,take some breaths and pull self together before P.E. Student then became upset thinking he could not go at,,
748,2016-2017 Y,1/3/2017,"person hold
Hallway",all and flipped over desk. Student then pushed over the divider and went to pick up share and through it.,,
749,,,,Student was very hyper and jumpy. Student was prompted to take some deep breaths before heading,,
750,,,,down to cafeteria. Student threw his plastic seat cushion across room and threw pencil at staff. Student,,
751,,,Small child restraint 1,then became physically aggressive with staff and was kicking and hitting. Two person hold was utilized for,,
752,2016-2017 Y,1/5/2017,"person hold
Classroom",safety for 6 minutes. Student began conversation with staff after first hold and became upset and physically,,
753,,,StudentDiscipline_L,,,
754,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
755,,,,Student was very hyper and jumpy. Student was prompted to take some deep breaths before heading,,
756,,,,down to cafeteria. Student threw his plastic seat cushion across room and threw pencil at staff. Student,,
757,,,Small child restraint 2,then became physically aggressive with staff and was kicking and hitting. Two person hold was utilized for,,
758,2016-2017 Y,1/5/2017,"person hold
Classroom",safety for 6 minutes. Student began conversation with staff after first hold and became upset and physically,,
759,,,,Student was asked to go into hallway to pick up his coat and jacket which he had previously thrown on the,,
760,,,Small child restraint 1,floor. When student was in hallway a staff tried to say hello to him and see what was going on. Student,,
761,2016-2017 Y,1/17/2017,"person hold
Hallway",began hitting and kicking and scratching said staff member. Small child restraint was utilized for staff safety.,,
762,,,,Student became upset with fellow classmates who were upset with him for not playing appropriately.,,
763,,,Small child restraint 2,Student was asked to sit at desk and he refused. Student went to leave the class room without permission,,
764,2016-2017 Y,2/17/2017,"person hold
Classroom",when he picked up a chair and threw it. When approached in the hallway student became physically,,
765,,,,"Student was being disruptive when entering the classroom and told staff to ""shut up idiot"". Student was",,
766,,,Small child restraint 1,asked to choose to either apologize and do morning work or leave the class. Student repeated phrase and,,
767,2016-2017 Y,3/7/2017,"person hold
Hallway",refused to leave room. Student finally walked out to hallway where he became physically aggressive and,,
768,,,Small child restraint 1,xxx was in music class and having an extremely difficult time being in control of his body. He was very,,
769,2016-2017 Y,5/8/2017,"person hold
Other","unsettled and began disrupting the class. When a staff member asked him to take a break, he refused, then",,
770,,,,Student was being directed to focus on eating his breakfast and ignoring another student in the hallway.,,
771,,,Small child restraint 1,"Student began throwing pencil, napkins and his breakfast at another staff face. When the rest of his",,
772,2016-2017 Y,5/11/2017,"person hold
Hallway",breakfast went to be removed he threw it on the floor and began hitting. Student was in small child hold,,
773,,,,Student was being directed to focus on eating his breakfast and ignoring another student in the hallway.,,
774,,,Small child restraint 2,"Student began throwing pencil, napkins and his breakfast at another staff face. When the rest of his",,
775,2016-2017 Y,5/11/2017,"person hold
Hallway",breakfast went to be removed he threw it on the floor and began hitting. Student was in small child hold,,
776,,,Small child restraint 2,Student was disrupting class and was asked to stop.  He continued to call out and disrupt Art class.  When,,
777,2016-2017 Y,6/8/2017,"person hold
Other",asked to leave student refused and threw chair across Art room.  Student then started head butting staff,,
778,,,,xxx had difficulty following classroom directives and expectations. He was verbally directed to the support,,
779,,,Small child restraint 1,which he was able to comply with. Once in the support area xxx began hitting another adult who was in the,,
780,2016-2017 Y,6/19/2017,"person hold
Calm Room","area. At this time he was placed in a TCI Single Person Small Child Hold, which lasted two minutes. He was",,
781,,,StudentDiscipline_L,,,
782,SchoolYear BIP EffectiveIncidentDate,,"Disposition
ocation",StudentDiscipline_Description,,
783,,,,xxx was told that he would need to complete his homework prior to having his free time. Once this was,,
784,,,,"said he slammed his head down on his desk, kicked the desk, and began to rip the papers in his desk. He",,
785,,,,"then began to break pencils and color the floor. He then began to scoot around of the floor, went over to",,
786,,,,"the smart board and began trying to pull the chords out of the wall. When he was redirected not to, he ran",,
787,,,Small child restraint 1,"into the bathroom, he then pulled all of the toilet paper out of the roll and shoved it all into the toilet then",,
788,2016-2017 N,1/10/2017,"person hold
Classroom",attempted to flush the toilet. This caused a flooding in the bathroom. I was able to get the bathroom door,,
789,,,Small child restraint 1,"xxx was being physically aggressive toward adults. He scratched adults, slapped adults, and utilized his body",,
790,2016-2017 N,6/12/2017,"person hold
Calm Room","in a ramming manner attempting to hurt adults. Staff utilized a TCI single person small child hold, which",,
791,,,Small child restraint 1,xxx was very agitated within the support area. Staff was trying to process with him. He began to push the,,
792,2016-2017 N,6/14/2017,"person hold
Calm Room",support room door into adults in an aggressive manner. When staff attempted to move out of the way of,,
793,2016-2017 Y,,"Classroom
9/29/2016 3 person prone hold",see comments,,
794,,,,"During 4th period, xxx was walking up and down the hallway kicking the water bottle he had been given.",,
795,,,,"Staff tried redirected him multiple times. He went down to the control room, but was not successful at",,
796,,,,opening the door. xxx then returned to the other end of the hallway and was trying to get into the,,
797,,,,multipurpose room when the door wasn't open. xxx then dumped the water bottle down the hallway. xxx,,
798,,,,went to get the mop to dry mop the hallway. xxx tried grabbing the mop from him. xxx was offered to get,,
799,,,,the wet floor sign to help. xxx refused to let go of the mop and tried to detach the mop head from the stick.,,
800,,,,"xxx came out to assist. xxx went to inform supervisor, switched out with xxx. xxx then threw a snow/ice ball",,
801,,,,"atxxx, hitting him in the back. xxx then put himself in the support room. He began stabbing ""xxxis a ass"" into",,
802,,,,"the mat. I told him he couldn't have his pencil in the support room, and he charged at the window stating",,
