,id,doc_type,restrict_type,date,grade,duration,description,injury
584,NOCO_RISI_01_Part1527,ASC Time Out Room Log - Room 9,ASC Time Out Room Log - Room 9,Date: 6/2/17,Check,10minutes,"refused to come inside from field dayand refused adult directions.Behavior entering time out room:Nc.1. compliance, hitting acuuts. Outsicle he was running from teachersand hiding on the playground.",
585,NOCO_RISI_01_Part1528,ASC Time Out Room Log - Room 4,ASC Time Out Room Log - Room 4,Date: 5/31/17,,15 minutes,"was unsafe outside he was unableto follow teacher directions, Yelling, cursing,once in the class dairer threw materials andspit.Behavior entering time out room:",
586,NOCO_RISI_01_Part1529,,,Date: 5/31/17,Check,15 minutes,was upset because of the Song anotherStudent picked forthe movement break. He triedto leave the Classroom. He was asked to use the quiet roomOn He way there he Kicked Over and threw chairs,
587,NOCO_RISI_01_Part153,ASC Time Out Room Log - Roor,ASC Time Out Room Log - Roor,Date: I 116/18,Check,8 min,Angry ndeo would not workBehavior entering time out room:Pkicking chairs angry body not in ControlBehavior exiting time out room:in control. went back to work.,
588,NOCO_RISI_01_Part1530,,,Date: 5/30/17,,Elapsed Time: 14 min,"was refusing to work or listerto an adult. He threw, yelled, cursed.Behavior entering time out room:yelling, throwing shoes, cursing.Behavior exiting time out room:",
589,NOCO_RISI_01_Part1531,,,Date: 5/30/17,,Escorted by:,"was unsafe throwing Sensory tools, yellingand wisingwas unable to getsafe or in control. He was whning wound theclass.",
590,NOCO_RISI_01_Part1532,,,Date: 5/26/17,,13 min,"called students names, cursed andthrew materials. He was unsafe and unableto get calm.Behavior entering time out room:Curse, yell, use unkind words towards adults,",
591,NOCO_RISI_01_Part1533,,,Date: 5 /25/17,Check,12 min,"called a student names, flipped the studentoff and walked aw as He began calling thestudent nanes and moretaning the student weremoved the other student andcontinued.",
592,NOCO_RISI_01_Part1534,,,Date: 5/25/17,Check,Elapsed Time: 7min,,
593,NOCO_RISI_01_Part1535,,,Date: 75/25/17,,Escorted by:,,
594,NOCO_RISI_01_Part1536,,ASC Time Out Room.Lo - Room 4,5/25/17,Check,15 minutes,got upset because he couldn't have the red dabber.He threw pencils at Students and adults making it unsafeHe was asked to use the Quiet room. to get his body Calm.Behavior entering time out room:began Kicking an adult and needed assistance. He,
595,NOCO_RISI_01_Part1537,,,5/24//7,Check,12 min,"an option because he ran away He was screaming, Kickingwas upset because playing outside was no longerE Swearing in Rm. 9. When asked to use the quiet room withan adult he began to punch the paper towel dispenser repeated!Behavior entering time out room:",
596,NOCO_RISI_01_Part1538,ASC Time Out Room Log-Room - y,ASC Time Out Room Log-Room - y,Date: 5/24/17,Grade: 2nd,10 minutes,"becare upset throwing materialsand wising. He was unsafe anddirected to me quiet room.Behavior entering time out room:Cursing, kicking, yelling at teachers and",
597,NOCO_RISI_01_Part1539,,,5/24/17,Check,23min,"left the class ran around the hall threwstuff in a different class locked himself in aclass. Once in the room he threw materials, kicked,wrsed and was Unsafe.Behavior entering time out room:",
598,NOCO_RISI_01_Part154,,,Date: 5 / 4 / 17,Check,Elapsed Time: 15 minutis,,
599,NOCO_RISI_01_Part1540,,,Date: 5/23/17,,7min,,
600,NOCO_RISI_01_Part1541,,,Date: 5/23/17,Check,Elapsed Time: 6 min.,"came in upset and began frustrating studentscalm and working He Yelled, cursed, kicked andattempted to leave the class.swung @adults and pulled adults clothing.",
601,NOCO_RISI_01_Part1542,,,Date: 5/22/17,Check,26 min,"refused to go to music he came toroom 9 with an unsafe body he was Yelling,kicking and wising.Would not getcalm",
602,NOCO_RISI_01_Part1543,,,Date: 5/22/17,Check,,"After a movement break Daireir be cameunsafe yelling, throwing, slamming doors andtryingBehavior entering time out room:cursed at teachers, Yelled, lacked the door",
603,NOCO_RISI_01_Part1544,,,5/19/17,Check,24min,came in to the Classroom and wasthreatening to Punch students and adults. He wasasked to use the quiet room to Calm his body andrefused.Behavior entering time out room:,
604,NOCO_RISI_01_Part1545,,,Date: 5/16/17,,16 min,"threw a toy at another student,wised and raised his hands to the student.A teacher tried to help suggest he remove himselfhe refused and sot in the students face.Behavior entering time out room:",
605,NOCO_RISI_01_Part1546,,,Date: 5/16/17,,18 min,,
606,NOCO_RISI_01_Part1547,,,Date: 5/12/17,,Elapsed Time: 11 min,"be came upset because the by m was notavailable He yelled screened ran into me hall, wild,kicked and hit himselfBehavior entering time out room:was adrea wailing on the ground",
607,NOCO_RISI_01_Part1548,ASC Time Out Room Log - Room 4,ASC Time Out Room Log - Room 4,Date: 5 / 11 / 17,,Escorted by:,became upset in library where whenhe wasn't called on. He had a tantrum underthe table and was removed. He ran into the Q.R.to calm down after his tantrum.Behavior entering time out room:,
608,NOCO_RISI_01_Part1549,,,Date: 5/11/17,Check,S minutes,began yelling at adult trying to help him.He threw a pencil at the adult and hit themin the face. He yelled inappropriate things andthe decision was made to use the quiet room to getBehavior entering time out room: his body calm and safe.,
609,NOCO_RISI_01_Part155,,,Date: 5/4/17,Check,4 min,"Another student said something that upset him. Instead of asking forhelp (lince he decided would be his plan) he started to Vell and disrupt thegroup. As per his plan. he was directed to the quiet roan to get houses nady.Behavior entering time out room:Yelling, throwing",
610,NOCO_RISI_01_Part1550,ASC Time Out Room Log - -Room 4,ASC Time Out Room Log - -Room 4,Date: 5/12/17,Check,Sminutes,was already agitated when he entered room aHe Screamed Swore and hit an adult andbegan throwing things in the room.Behavior entering time out room:Continued to scream and used funl,
611,NOCO_RISI_01_Part1551,ASC Time Out Room Log-Room 4,ASC Time Out Room Log-Room 4,Date: 5/10/17,,8 min,became upset When his nare wasnot called at random to pick a break song.He yelled at another student threw and wasunsafe. He could not calm to down + needed tre Q.RBehavior entering time out room:,
612,NOCO_RISI_01_Part1552,,,Date: 5 / 10 / 17,Check,11 minutes,had a hard time transitioning into the room.He refused adult directions to come out of the storageCloset. He became vocally disrespectful and physical.Behavior entering time out room:needed assistance to the quiet room. He Screamed,
613,NOCO_RISI_01_Part1553,,,Date: 5 / 9 / 17,Check,15min,"came back from P.E. walked into meroonbegan Pacing yelling and throwing materials. Dairecould not calm his body and was unsafeBehavior entering time out room:calling teacher's ""fucking whore"" yelling : screaming,",
614,NOCO_RISI_01_Part1554,,,Date: 05 / 09 / 17,Check,9 minutes,became upset because he Could not have atreat until he did work. He Kicked an adult andthrew things at an adult trying to help him He wasCreating an unsafe environment for the Students and adultsBehavior entering time out room:,
615,NOCO_RISI_01_Part1555,,,5/8/17,Check,Escorted by:,was asked to walk away from thelearning space because ne was unkind and unsaide.He could not walk away to get his body readyand needed the QR. to be safe.Behavior entering time out room:,
616,NOCO_RISI_01_Part1556,,,Date: 5/8/17,Check,13min,became upset after a shelter in placewas called. He flipped chairs in the class andwised. He ran out of the class and was runningin halls.care back to the Cluss and was,
617,NOCO_RISI_01_Part1557,,,Date: 5/5/17,,19min,was unsafe and unable to usethe calming corner. He was unable to getin control and needed a break in the quiet room.Behavior entering time out room:was yelling wising kicking the,
618,NOCO_RISI_01_Part1558,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,11-8-18,2,minutes,"Running away from Staff (Kunkinga way in hallway)Behavior entering time out room:yelling, hitting door.Behavior exiting time out room:",
619,NOCO_RISI_01_Part1559,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 11/13/18,Check,Elapsed Time: 4 min,eloped from staff In thehallway.Behavior entering time out room:YellingBehavior exiting time out room:,
620,NOCO_RISI_01_Part156,ASC Time Out Room Log-Room - 4,ASC Time Out Room Log-Room - 4,Date: 5/3/17,Check,15 min,"was yelling, kicking Classroom materials, and hitting teachers whenwases he was told the computer was not an option. He was toldhe needed to use the quiet room to get ready, and refusedBehavior entering time out room:Velling, cursing, hutting teachers",
621,NOCO_RISI_01_Part1560,ASC Time Out Room Log-Room,ASC Time Out Room Log-Room,Date: 6/11/19,Check,IL mind,"got mad during her reading Center, began toKick desk, throwbook and paper, began to punchand Kick staff;Behavior entering time out room:Descarded punching and kicking staff",
622,NOCO_RISI_01_Part1561,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 6/10/19,Check',6 mins,upset at the read - a-loud - did notlike itBehavior entering time out room:Dalked self in - started w/ door opennout starting charging at the door,
623,NOCO_RISI_01_Part1562,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 6/10/19,Check`,8 min,"did not like the read cloud book becauseshe didn't think it was school appropriate.Began screaming, sweaning hitting walls, andKnocking over chairs.Behavior entering time out room:",
624,NOCO_RISI_01_Part1563,ASC Time Out Room Log-Room; -,ASC Time Out Room Log-Room; -,Date: 6 / 10 / 14,Check,23min.,was upset about typing club. Beganscreaming and pushing furniture. Staff pomptedher to use a pillow and take a break.Behavior entering time out room:walked in on her own,
625,NOCO_RISI_01_Part1564,ASC Time Out Room Log-Roon -,ASC Time Out Room Log-Roon -,Date: 6/10/19,Check,4 min,Got upset at another studentin the room.Behavior entering time out room:walked self in- - angryBehavior exiting time out room:,
626,NOCO_RISI_01_Part1565,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 6/7/19,Check,46 min,,
627,NOCO_RISI_01_Part1566,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 6/7/19,Check,13 Min,She got upset at another - studenttold her lets talk in the to roomonce in the roon she started to talkabout the Student make. threats and panch wallBehavior entering time out room:,
628,NOCO_RISI_01_Part1567,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 6/7/19,Check,12 min,She got upsct with What aStudent Said to a Staff workerBehavior entering time out room:She began to make threatsand Yell She walked her Self into,
629,NOCO_RISI_01_Part1568,ASC Time Out Room Log-Room,ASC Time Out Room Log-Room,Date: 6/6/19,Check,Elapsed Time: 7mins,involved herself in an argument Thatpeers were having and became escalatedBehavior entering time out room:OscortedBehavior exiting time out room:,
630,NOCO_RISI_01_Part1569,ASC Time Out Room Log-Roort -,ASC Time Out Room Log-Roort -,Date: 5/6/19,Check,10 Mias.,"was mad about another students commentsthat had nothing to do with Isabella, sheheard it when day centersBehavior entering time out room:rescorted - Body: not in Control swearing,",
631,NOCO_RISI_01_Part157,,,Date: 5/3/17,Check,15 min,"Throwing Classroom materials at teachers and students.Behavior entering time out room:Throwing, yelling , hitting teachersBehavior exiting time out room:Sitting with a calm safe body , answering questions, came up",
632,NOCO_RISI_01_Part1570,ASC Time Out Room Log-Roor -,ASC Time Out Room Log-Roor -,Date: 6/5/19,,Elapsed Time: 6 min.,was upset When She realized shescreaming and throwing chairs. Promptedwas not getting picked up early She beganby Staff to take a break in T.O.Behavior entering time out room:,
633,NOCO_RISI_01_Part1571,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 6 /5/19,Check',Elapsed Time: 25 min,a hard time and thought they filledcupset bat another student havingat her.Behavior entering time out room:Thrownatic,
634,NOCO_RISI_01_Part1572,ASC Time Out Room Log-Room,ASC Time Out Room Log-Room,Date: 6/5/19,Check,5mins,"frustrated when She couldn't get it. staff attemptedwas. trying to take off her socks. wasto chairs. help, but she began screaming and throwingBehavior entering time out room:escorted by staff - was punching staff",
635,NOCO_RISI_01_Part1573,ASC Time Out Room Log-Roorl -,ASC Time Out Room Log-Roorl -,Date: 6/4/19,Check`,13mins,"was mad She had to do amath problem,began throwing objects, trying to hit StaffBehavior entering time out room:escorted - body not in control swearing andthreatening staff",
636,NOCO_RISI_01_Part1574,ASC Time Out Room Log-Room,ASC Time Out Room Log-Room,Date: 614119,Check,limin,was in 01 and was asked to place stickersprusely onto picture sha was completing speggetIsabella then stood up and Hipped 2 starls directedupset and told therapist to stop kiling whatif andknocked seveal items off of shehes. Isabella was then,
637,NOCO_RISI_01_Part1575,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 6 / 4 / 19,Check`,Elapsed Time: 15 mins,"was mad that staff told her that Shecouldn't use the Ipad , tried to go after Staff andattack themBehavior entering time out room:escarted - Body not in control",
638,NOCO_RISI_01_Part1576,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 6/3/19,Check,Staff Monitoring time out room:,a was upset that the therapists cards wereupset when shown that the cards could be in either direction.upside down. She wanted cards tumed over and st becameshelves. She was escorted out of the OT room and headedApped over 2 stools then threw several items off,
639,NOCO_RISI_01_Part1577,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 6/3/19,Check,4 mins,"pushed a computer off a chair and Smiled,staff told her. to be gentle With the computer.Began to try and go after staff.Behavior entering time out room:Screamed at staff - Walked by staff not",
640,NOCO_RISI_01_Part1578,ASC Time Out Room Log-Roon -,ASC Time Out Room Log-Roon -,Date: 6/3/19,Check',11min,stated she was going home if shewas angry because she was at school andhad a good dayBehavior entering time out room:incrowded hallway L hit states and tried,
641,NOCO_RISI_01_Part1579,ASC Time Out Room Log-Roorn -,ASC Time Out Room Log-Roorn -,Date: 5/23/19,Check',9 min,"upset at game during PE Kickedstapf, when she came to the classshe started going after staff while they werehantingBehavior entering time out room:structure",
642,NOCO_RISI_01_Part158,,,Date: 5 / 2 / 17,Check,7 min,"Threw materials at kids/ticchers, kicked a teacherBehavior entering time out room:yelling, kicking, hittingBehavior exiting time out room:Sitting C. gainst the back wall, following all directions",
643,NOCO_RISI_01_Part1580,ASC Time Out Room Log-Roon,ASC Time Out Room Log-Roon,Date: 5/22/19,,4 min.,was frustrated when she did not get3 bonus ponts and only 2. She decidedon her own to take a breakBehavior entering time out room:walked in control,
644,NOCO_RISI_01_Part1581,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/22/19,Check,6mins,"her phone in the bathroord andAngry because Staff caught ner staff withtook it.Behavior entering time out room:escarted , body not in control",
645,NOCO_RISI_01_Part1582,ASC Time Out Room Log-Room,ASC Time Out Room Log-Room,Date: 5 / 21/ 19,,Elapsed Time: 2 mins,"Frustrated during, a game, wasprompted to take a break andwalked to TO roomBehavior entering time out room:walked in quetry",
646,NOCO_RISI_01_Part1583,ASC Time Out Room Log -Room -,ASC Time Out Room Log -Room -,Date: 5 / 21 / 19,Check,2 m in),mad at a staff member because shetold her What wore she had to doBehavior entering time out room:walked in on her ownBehavior exiting time out room:,
647,NOCO_RISI_01_Part1584,ASC Time Out Room Log - -Room,ASC Time Out Room Log - -Room,Date: 5/2/119,Check',10 mird,"mad she had to ds typing began slamming onlaptop and flipping over her desk.Behavior entering time out room:escarted - telling staff She was going to nukethe school , sweaning at staff several times, threateni",
648,NOCO_RISI_01_Part1585,ASC Time Out Room Log - -Room,ASC Time Out Room Log - -Room,Date: 5 120119,,49 min,"Grabbed two manars Then ran atstarff and threw them other.Behavior entering time out room:Threatening to kill staff, hitting StaffBehavior exiting time out room:",
649,NOCO_RISI_01_Part1586,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/20/19,,10min.C,"was cheering that a staff membergot hurt,50 her pad was, taken away andone began thirwing materalsBehavior entering time out room:creaming and threatening staff",
650,NOCO_RISI_01_Part1587,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/20/19,Check,Staff Monitoring time out room:,"shuck an iPad in the bathroom. When teachertold her not to do it again got mad,began Knocking over objects and becoming unsafe.Behavior entering time out room:pescarted Swearing at Staff demanding obects,",
651,NOCO_RISI_01_Part1588,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/20/19,Check',21mins.,"After talking with dad, staff was try toexplain art directions with her, she ran to herbackpack Aget her phase staff blocked the backpackattemptonand she put hands on Staff.",
652,NOCO_RISI_01_Part1589,ASC Time Out Room Log-Rool -,ASC Time Out Room Log-Rool -,Date: 5/16/19,Date of Birth,415mins,banging on computer trying to take ipads out ofcase after staff told her she lost electronicsBehavior entering time out room:Oscarted - not in controlBehavior exiting time out room:,
653,NOCO_RISI_01_Part159,,,Date: 5 / 2 / 17,Check,319 min,"came into school Unsate. He threw materialsat teachers. yelled and corsed at students andwas unsafer not ready to be with other students.Behavior entering time out room:threw his shoes, Yelled at Helhes,",
654,NOCO_RISI_01_Part1590,ASC Time Out Room Log-Rod -,ASC Time Out Room Log-Rod -,Date: 5/16/19,Date of Birth,20 mins,"wouldn't do the work she was asked to do, beganthrowing Objects around the room, hitting and Kicking staffSlappig Staff multiple timesBehavior entering time out room:escarted- - not in control Callig staff very awful",
655,NOCO_RISI_01_Part1591,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/16/19,Date of Birth,zomins,"mad Staff wouldnt Put her socks on afterbeing rude to staff, Broke a glass plate on theteachers desic and Knowed over other things on desisBehavior entering time out room:Descarted, - threat to kill Staff multiple times,",
656,NOCO_RISI_01_Part1592,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/16/19,Check,8mly,She ran out of the classwith no staff was upsetabout the bus ride to SchoolBehavior entering time out room:She was yelling at staff,
657,NOCO_RISI_01_Part1593,ASC Time Out Room Log-Roon -,ASC Time Out Room Log-Roon -,Date: 5/15/19,Check,9 mins,to help butgot Stuck while reading staff offeredwanted staff to readthe entire book:Behavior entering time out room:,
658,NOCO_RISI_01_Part1594,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/14/19,Check,min,Got upset When told Shelaad to doa book on ras KidsBehavior entering time out room:upset Yelling at staff 8 hittinglaptop until teacher took it from her,
659,NOCO_RISI_01_Part1595,ASC Time Out Room Log - Roon,ASC Time Out Room Log - Roon,Date: 5/14/19,Check,smin,"She got upset with staffBehavior entering time out room:Upset , crying / ScreamingBehavior exiting time out room:Happy and calm wanted to",
660,NOCO_RISI_01_Part1596,ASC Time Out Room Log-Rod -,ASC Time Out Room Log-Rod -,Date: 5/13/19,Check,Elapsed Time: 13 mins,was Yelling at a staff member multiple timesand was not in Control tried to Chorseat staff memberBehavior entering time out room:escerted - not in Control,
661,NOCO_RISI_01_Part1597,ASC Time Out Room Log-Roof -,ASC Time Out Room Log-Roof -,5/13/19,Check,amins,was mad at staff for a comment that wasmade and She took it the wrong way.Behavior entering time out room:ran in On her ownBehavior exiting time out room:,
662,NOCO_RISI_01_Part1598,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 5 / 13 / 19,Check,14mins,"got mad With typing, threw Chairs Knocked overbins of books all over the floor, grapbing atStaff.Behavior entering time out room:escarted, Hitting staff screaming scratching",
663,NOCO_RISI_01_Part1599,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 5/8/19,Check,40mins,"didnt want to do her math wore,began throwing chairs and putting hands on staff.Behavior entering time out room:Body not in control - escarted, was swearingat Staff multiple times.",
664,NOCO_RISI_01_Part16,ASC Time Out Room Log - Room 9,ASC Time Out Room Log - Room 9,Date: 12/12/16,Grade: ZAd 3rd,12 min,"came back from specials and was toldhe could have a movement break & before startingmath.refused, slammed the door and waspacing the room kicking the materials.",
665,NOCO_RISI_01_Part160,ASC Time Out Room Log - Room 4,ASC Time Out Room Log - Room 4,Date: 4/28/17,,R min,"came back from mr m's room andwanted to use the computer that isn't a ChoiceHe becane upset, threw materials, wised and hithimself.Behavior entering time out room:",
666,NOCO_RISI_01_Part1600,ASC Time Out Room Log-Roon -,ASC Time Out Room Log-Roon -,Date: 5/7/19,Check,13mins,"mad that staff had a Stern talk With anotherstudent that had nothing to du with her, Knockedover mats and pusted mu time times into staffBehavior entering time out room:escorted - Body not in control swearing,",
667,NOCO_RISI_01_Part1601,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/7/19,Grade: 3rd,15mins,became upset because OT complimented her dress.Stated that she is emotional She began throwing items in OT room.was escorted to the time out room to de-escalate.Behavior entering time out room:Othreats to staff,
668,NOCO_RISI_01_Part1602,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/7/19,Check,30mins,"wrote innapropriate words On her writing, Whenstaff told her to stop and Writing was over, She Matup middle finger at staff.began to Knock over Chairs, tip Jesk , knocking overwalk stickingBehavior entering time out room:",
669,NOCO_RISI_01_Part1603,ASC Time Out Room Log - Roon,ASC Time Out Room Log - Roon,Date: 5 /6 /19,,11 mins,Threw a full gar bage canacross The room and items hitanother studentBehavior entering time out room:Dursing and giving the middle finger,
670,NOCO_RISI_01_Part1604,ASC Time Out Room Log - -Room,ASC Time Out Room Log - -Room,Date: 5/6/19,Check,7mins,"Difficulty with getting sneakers on. Pulledon staff , hit. Staff multiple times. grabbed staffSeveral timesBehavior entering time out room:escetted body not in Control",
671,NOCO_RISI_01_Part1605,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 5/3/19,Check,8 min,"was upset that her phone break was over.Independently asked to use the TO rumBehavior entering time out room:to snugglewalked in calmly, asked fur a pillow",
672,NOCO_RISI_01_Part1606,ASC Time Out Room Log-Roor -,ASC Time Out Room Log-Roor -,Date: 5 / 1 / 19,Check,Staff Monitoring time out room:,"TOOK her phone into the bathroom , told staffthat She wasnt. going to the bathroom like SheSaid She was , toid Staff she got Assor their aksBehavior entering time out room:escared - body not in control",
673,NOCO_RISI_01_Part1607,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 5/1/19,,61mins,was mad When staff was talking to the groupabout things going on in the room she didn'tlive a word said and began throwing Chairs.Behavior entering time out room:escarted - body not in control,
674,NOCO_RISI_01_Part1608,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5/1/19,,45mins,decorewas mad She was in school and madat staff. Velle at Staff and began Knockingwi17door doses,
675,NOCO_RISI_01_Part1609,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 5 1/1/19,Check,24mins,"Snuck her phone intotold staff Stafftold her She had to put it away, refused,hit StaffBehavior entering time out room:",
676,NOCO_RISI_01_Part161,ASC Time Out Room Log - Room 1,ASC Time Out Room Log - Room 1,Date: 4/28/17,,7 min,Ran to the class from the lunch room hewas pacing and not telling a teache what waswrong He began rolling on the floor and flipped a chairHe was directed to take a break Dr ne would usethe quictroom He flipped a desk and was are oted,
677,NOCO_RISI_01_Part1610,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 4/30/19,Check,"Staff Monitoring timg,out room:","Didn't want to do her Work , began to kick obserts,scream at Staff, Then began to pull teaclers hairand swear at staffBehavior entering time out room:escarted body not in control Swearing I hotting",
678,NOCO_RISI_01_Part1611,ASC Time Out Room Log - Roor.,ASC Time Out Room Log - Roor.,Date: 4/30/19,Check,20mins,came in and didn't want to be in school.Began staff throwing objects at staff and try tohitBehavior entering time out room:escorted by staff,
679,NOCO_RISI_01_Part1612,ASC Time Out Room Log-Roon -,ASC Time Out Room Log-Roon -,Date: 4 18119,Check,13 mins,"Kicking desks - throwing objectsBehavior entering time out room:Escorted, once in time out farm room(said fxxx you to staff. screamingBehavior exiting time out room:",
680,NOCO_RISI_01_Part1613,ASC Time Out Room Log - Rod.,ASC Time Out Room Log - Rod.,Date: 4/18/19,Check Initiated by- self,10 min),"Getting ready for PE, -putting sneakers onwith Staff assistanceBehavior entering time out room:upset-cryingBehavior exiting time out room:",
681,NOCO_RISI_01_Part1614,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 4/16/19,Check,2 mins,"got frostriked and banged On the computerand became very unsafe, screaming at staff.Behavior entering time out room:escorded Knowed over mats, said ""screwyou"" "" ""FxA you"". II I want to kill you"" //",
682,NOCO_RISI_01_Part1615,ASC Time Out Room Log-Roof -,ASC Time Out Room Log-Roof -,Date: 4/15/19,Check,Elapsed Time: 38mins,"mad she had to do science, knockedover mat and. hit Staff multiple timesBehavior entering time out room:escarted , hit Staff again screaming andstapp to ""FADA"" off",
683,NOCO_RISI_01_Part1616,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 4/15/19,Check,15 mins,was mad that staff asked her to explainWhat constant meant. pusted book at staff.Behavior entering time out room:Walked herself in on her ownBehavior exiting time out room:,
684,NOCO_RISI_01_Part1617,ASC Time Out Room Log-Roor -,ASC Time Out Room Log-Roor -,Date: 4/15/19,Check,2 mins,got frustrated with her last ELAcenter.Behavior entering time out room:walked herself inBehavior exiting time out room:,
685,NOCO_RISI_01_Part1618,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 4/15/19,Check,12 mins,"was mad because staff was trying to helpher insted of do the Work for her like sheexpected.Behavior entering time out room:escared , hit staff , sware at staff",
686,NOCO_RISI_01_Part1619,ASC Time Out Room Log-Roon -,ASC Time Out Room Log-Roon -,Date: 4 1/2/19,Check,22 mins,"Because staff told her, to stay incontrol - being very sillyBehavior entering time out room:langry yelling at staft and saying sheKill them STUCK up middle finger",
687,NOCO_RISI_01_Part162,ASC Time Out Room Log - Room 7,ASC Time Out Room Log - Room 7,Date: 04/26/17,Check,15,"was upset with another Student and becamephysically violent with them. He was punching, Kickingand pulling the students hair He could not Control himselfto Stop his behavior without adult assistanceBehavior entering time out room:",
688,NOCO_RISI_01_Part1620,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 4/12/19,Check,10 mins,Tried to lock herself in the bathroom andran around the roan Wanting attention from staffBehavior entering time out room:escartednot in control,
689,NOCO_RISI_01_Part1621,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 4 1121119,Check,6mins,was asked to do one last book andquestions and was arguing w/ staffBehavior entering time out room:Howing in time objects out - room kicking walls isgoing to blow the schoo up.,
690,NOCO_RISI_01_Part1622,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 4/12/19,Check,3 I mins,Getting ready for PE - putting shoes on. .Behavior entering time out room:Crying she's going to kill staff.throwing objects - Kicked and hit staffBehavior exiting time out room:,
691,NOCO_RISI_01_Part1623,ASC Time Out Room Log-Rod -,ASC Time Out Room Log-Rod -,Date: 4/4/19,Check,32 min,was mad that staff was givingWITHher aldemand to try and She didn't Want toBehavior entering time out room:Walked herself in,
692,NOCO_RISI_01_Part1624,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 4/11/19,Check,5 mins,"was jealous of another StudentBehavior entering time out room:screaming , walved herself inBehavior exiting time out room:Walked out with staff and did her",
693,NOCO_RISI_01_Part1625,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 4/11/19,Check,5mins,"ran out of the room , threw objects at StaffBehavior entering time out room:not in control , escortesBehavior exiting time out room:walked out With staff in control",
694,NOCO_RISI_01_Part1626,ASC Time Out Room Log-Roof -,ASC Time Out Room Log-Roof -,Date: 4/11/19,Check,Staff Monitoring time out room:,"take a break. Ran and grabbed her phonenever fully deescalated. Was trying toand when the phone was put away, beganchasing staff and running around the roomBehavior entering time out room:",
695,NOCO_RISI_01_Part1627,ASC Time Out Room Log -Room -,ASC Time Out Room Log -Room -,Date: 4/11/19,Check,20 min.,specialing to another studentangry at staff because they were andnot like it.Behavior entering time out room:saying she was going to harm staff,
696,NOCO_RISI_01_Part1628,ASC Time Out Room Log-Room -,ASC Time Out Room Log-Room -,Date: 4/11/19,Check,15min,Did not like the activity that classwas doing in libraryBehavior entering time out room:walked self in.Behavior exiting time out room:,
697,NOCO_RISI_01_Part1629,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 4/11/19,Check,Self,"was mad that staff was putting a workdemand on her started to swear at staffand yell at themBehavior entering time out room:Walked in on her own, angry",
698,NOCO_RISI_01_Part163,ASC Time Out Room Log - Room 9,ASC Time Out Room Log - Room 9,Date: 4/26/17,,17 min,"came in threw his Backpack, cursed,attempted to flip a desk, hit a teacher, and threwclass materials.needed the quick room to getready.",
699,NOCO_RISI_01_Part1630,ASC Time Out Room Log - Room,ASC Time Out Room Log - Room,Date: 4 /Il / 19,Check,llmins,Upset because she did not want to makeher lunch choiceBehavior entering time out room:Kicking objects - throwing objects - unsafe behaviorBehavior exiting time out room:,
