,id,school_building,date,restraint_began,restraint_end,seclusion_start,seclusion_end,restraint_type,doc_type,description
116,COH_RISI_05_Part11,School: Harmony HillIncident Description,Date of Incident: 5/18/17,Time restraint began: 12:25,Time restraint ended: 12:35,Time seclusion ended:,Transport utilized? Yes,X Children's control position,,
117,COH_RISI_05_Part12,School: Harmony HillIncident Description,Date of Incident: 6/7/17,Time restraint ended:,Seclusion utilized?,Time seclusion began: 1:20,Time seclusion ended: 1:40 (door,Children's control position,,
118,COH_RISI_05_Part13,School: Harmony HillIncident Description,Date of Incident: 5/16/17,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 11:05,Time seclusion ended: 11:23,Children's control position,,
119,COH_RISI_05_Part14,School: Harmony HillIncident Description,Date of Incident: 9/27/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:30,Time seclusion ended: 12:40,- Children's control position,,
120,COH_RISI_05_Part15,School: Harmony HillIncident Description,Date of Incident: 9/28/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:30,Time seclusion ended: 12:45,Children's control position,,
121,COH_RISI_05_Part16,School: Harmony HillIncident Description,Date of Incident: 10/17/16,Time restraint ended:,Seclusion utilized? YES,Time seclusion began: 11:40,Time seclusion ended: 11:52,-,,
122,COH_RISI_05_Part17,School: Harmony HillIncident Description,Date of Incident: 10/11/16,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 11:40,Time seclusion ended:11:57,Children's control position (with support on legs),,
123,COH_RISI_05_Part18,School: Harmony HillIncident Description,Date of Incident: 10/17/16,Time restraint ended:,Seclusion utilized? YES,Time seclusion began: 1:15,Time seclusion ended: 1:41 (door was,Children's control position-,,
124,COH_RISI_05_Part19,School: Harmony HillIncident Description,Date of Incident: 10/31/16,Time restraint ended:,Seclusion utilized? YES,Time seclusion began: 1:40,Time seclusion ended: 1:48,Children's control position,,
125,COH_RISI_05_Part2,School: Harmony HillIncident Description,Date of Incident: 10/27/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 2:18,Time seclusion ended: 2:24,Children's control position,,
126,COH_RISI_05_Part20,School: Harmony HillDate of Incident: 11/4/16,Date of Incident: 11/4/16,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 12:00,Time seclusion ended: 12:20,Children's control position seated with support on legs,,
127,COH_RISI_05_Part21,School: Harmony HillDate of Incident: 11/9/16,Date of Incident: 11/9/16,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 12:20,Time seclusion ended: 12:27,,,
128,COH_RISI_05_Part22,School: Harmony HillDate of Incident: 11/9/16,Date of Incident: 11/9/16,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 1:25,Time seclusion ended: 1:42,Children's control position seated with support on legs,,
129,COH_RISI_05_Part23,School: Harmony HillIncident Description,Date of Incident: 12/5/16,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 12:30,Time seclusion ended: 12:40,Children's control position,,
130,COH_RISI_05_Part24,School: Harmony HillIncident Description,Date of Incident: 10/12/16,Time restraint ended: 2:13,Time restraint ended: 2:13,Time seclusion began: 10:15,Time seclusion ended: 10:26,Children's control position,,
131,COH_RISI_05_Part25,School: Harmony HillIncident Description,Date of Incident: 10/19/16,Time restraint ended:,Seclusion utilized? no,Time seclusion began: 12:42,Time seclusion ended: 12:58,Children's control position,,
132,COH_RISI_05_Part26,School: Harmony HillIncident Description,Date of Incident: 10/26/16,Time restraint ended: 2:13,Time restraint ended: 2:13,Time seclusion began: 8:50,Time seclusion ended: 9:03,Children's control position,,
133,COH_RISI_05_Part27,School: Harmony HillIncident Description,Date of Incident: 11/7/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 10:08,Time seclusion ended: 10:18,Children's control position,,
134,COH_RISI_05_Part28,School: Harmony HillIncident Description,Date of Incident: 11/14/16,Time restraint began: 10:36,Time restraint ended: 10:40,Time seclusion ended:,Transport utilized? yes,x Children's control position,,
135,COH_RISI_05_Part29,School: Harmony HillIncident Description,Date of Incident: 11/15/16,Time restraint began: 12:35,Time restraint ended: 12:43,Time seclusion ended:,Transport utilized? no,Children's control position,,
136,COH_RISI_05_Part3,School: Harmony HillIncident Description,Date of Incident: 11/1/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 10:15,Time seclusion ended: 10:22,Children's control position,,
137,COH_RISI_05_Part30,School: Harmony HillIncident Description,Date of Incident: 11/15/16,Time restraint began: 2:10,Time restraint ended: 2:17,Time seclusion ended:,Transport utilized? no,Children's control position,,
138,COH_RISI_05_Part31,School: Harmony HillIncident Description,Date of Incident: 11/21/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:37,Time seclusion ended: 12:49,Children's control position,,
139,COH_RISI_05_Part32,School: Harmony HillIncident Description,Date of Incident: 11/28/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:50,Time seclusion ended: 10:10,Children's control position,,
140,COH_RISI_05_Part33,School: Harmony HillIncident Description,Date of Incident: 11/22/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:51,Time seclusion ended: 10:00,Children's control position,,
141,COH_RISI_05_Part34,School: Harmony HillIncident Description,Date of Incident: 12/16/16,Time restraint began: 12:40,Time restraint ended: 12:45,Time seclusion ended:,Transport utilized? no,x Children's control position,,
142,COH_RISI_05_Part35,School: Harmony HillIncident Description,Date of Incident: 12/14/16,Time restraint began: 10:24,Time restraint ended: 10:33,Time seclusion ended:,Transport utilized? no,X,,
143,COH_RISI_05_Part36,School: Harmony HillIncident Description,Date of Incident: 12/19/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:00,Time seclusion ended: 2:20,x Children's control position,,
144,COH_RISI_05_Part37,School: Harmony HillIncident Description,Date of Incident: 1/5/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:00,1:22,Children's control position,,
145,COH_RISI_05_Part38,School: Harmony HillIncident Description,Date of Incident: 1/5/17,Time restraint began: 11:02,Time restraint ended: 11:22,Time seclusion began: 11:22,Time seclusion ended: 11:34,Children's control position,,
146,COH_RISI_05_Part39,School: Harmony HillIncident Description,Date of Incident: 1/18/17,Time restraint began: 1:00,Time restraint ended: 1:36,Time seclusion ended:,Transport utilized? no,Children's control position,,
147,COH_RISI_05_Part4,School: Harmony HillIncident Description,Date of Incident: 11/1/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:25,Time seclusion ended: 1:40,Children's control position,,
148,COH_RISI_05_Part40,School: Harmony HillIncident Description,Date of Incident: 1/12/17,Time restraint ended:,Seclusion utilized?,Time seclusion ended:,Transport utilized?,Children's control position,,
149,COH_RISI_05_Part41,School: Harmony HillIncident Description,Date of Incident: 2/1/17,Time restraint began: 1:00-1:04;,Time restraint ended: 2:10,Time seclusion ended:,lock door,Children's control position,,
150,COH_RISI_05_Part42,School: Harmony HillIncident Description,Date of Incident: 1/12/17,Time restraint ended:,Seclusion utilized?,Time seclusion ended:,Transport utilized?,Children's control position,,
151,COH_RISI_05_Part5,School: Harmony HillIncident Description,Date of Incident: 11/1/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:25,Time seclusion ended: 2:30,Children's control position,,
152,COH_RISI_05_Part6,School: Harmony HillIncident Description,Date of Incident: 11/2/16,Time restraint began: 2:14,Time restraint ended: 2:17,Time seclusion ended:,Transport utilized? no,X Children's control position,,
153,COH_RISI_05_Part7,School: Harmony HillIncident Description,Date of Incident: 11/2/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 10:15,Time seclusion ended: 10:23,Children's control position,,
154,COH_RISI_05_Part8,School: Harmony HillIncident Description,Date of Incident: 5/19/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:10,Time seclusion ended: 9:38,- Children's control position,,
155,COH_RISI_05_Part9,School: Harmony HillIncident Description,Date of Incident: 1/11/17,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 1:25,Time seclusion ended: 1:32,Children's control position,,
156,COH_RISI_06_Part1,School: Harmony HillIncident Description,Date of Incident: 2/6/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:10,Time seclusion ended: 2: :25,Children's control position,,
157,COH_RISI_06_Part10,School: Harmony HillIncident Description,Date of Incident: 11/16/16,Time restraint began: 8:40,Time restraint ended: 8:55,Time seclusion ended:,Transport utilized? No,X,,
158,COH_RISI_06_Part11,School: Harmony HillIncident Description,Date of Incident: 11/16/16,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 1:50,Time seclusion ended: 2:15,Children's control position,,
159,COH_RISI_06_Part12,School: Harmony HillIncident Description,Date of Incident: 11/17/16,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 8:42,Time seclusion ended: 9:00,Children's control position,,
160,COH_RISI_06_Part13,School: Harmony HillIncident Description,Date of Incident: 11/17/16,Time restraint ended: N/A,Seclusion utilized? Yes,Time seclusion began: 11:15,Time seclusion ended: 11:45 (door,Children's control position,,
161,COH_RISI_06_Part14,School: Harmony HillIncident Description,Date of Incident: 11/17/16,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 1:45,Time seclusion ended: 2:20 (Door,Children's control position,,
162,COH_RISI_06_Part15,School: Harmony HillIncident Description,Date of Incident: 12/1/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 10:20,Time seclusion ended: 10-30,Children's control position,,
163,COH_RISI_06_Part16,School: Harmony HillIncident Description,Date of Incident: 12/5/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 8:40,Time seclusion ended: 8:50,Children's control position,,
164,COH_RISI_06_Part17,School: Harmony HillIncident Description,Date of Incident: 12/7/16,Time restraint began: 1:45,Time restraint ended: 1:55,Time seclusion ended:,Transport utilized? yes,Children's control position- With assistance on legs,,
165,COH_RISI_06_Part18,School: Harmony HillIncident Description,Date of Incident: 12/15/16,Time restraint ended:,Seclusion utilized? Yes,Time seclusion began: 11:46,Time seclusion ended: 12:04,Children's control position-,,
166,COH_RISI_06_Part19,School: Harmony HillIncident Description,Date of Incident: 12/21/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:00,Time seclusion ended: 1:17,Children's control position,,
167,COH_RISI_06_Part2,School: Harmony HillIncident Description,Date of Incident: 2/2/17,Time restraint began: 9:22,Time restraint ended: 9:25,Time seclusion began: 9:25,Time seclusion ended: 9:46,Children's control position,,
168,COH_RISI_06_Part20,School: Harmony HillIncident Description,Date of Incident: 12/21/16,Time restraint ended:,Seclusion utilized? no,Time seclusion ended:,Transport utilized? yes,Children's control position,,
169,COH_RISI_06_Part21,School: Harmony HillIncident Description,Date of Incident: 1/6/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 8:55,Time seclusion ended: 9:15,Children's control position,,
170,COH_RISI_06_Part22,School: Harmony HillIncident Description,Date of Incident: 1/13/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:50,Time seclusion ended: 10:18,Children's control position,,
171,COH_RISI_06_Part23,School: Harmony HillIncident Description,Date of Incident: 1/20/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:18,Time seclusion ended: 2:30,Children's control position,,
172,COH_RISI_06_Part24,School: Harmony HillIncident Description,Date of Incident: 1/31/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion ended:,Transport utilized? yes,Children's control position,,
173,COH_RISI_06_Part25,School: Harmony HillIncident Description,Date of Incident: 2/13/17,Time restraint began: 2:00,Time restraint ended: 2:15,Time seclusion began: 2:15,Time seclusion ended: 2:25,,,
174,COH_RISI_06_Part26,School: Harmony HillIncident Description,Date of Incident: 3/8/17,Time restraint began: 10:10,Time restraint ended: 11:00,Time seclusion ended:,Transport utilized? No²,Children's control position,,
175,COH_RISI_06_Part27,School: Harmony HillIncident Description,Date of Incident: 3/17/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:55,Time seclusion ended: 2:20,Children's control position,,
176,COH_RISI_06_Part28,School: Harmony HillIncident Description,Date of Incident: 3/22/17,Time restraint began: 11:05,Time restraint ended: 11:25,Time seclusion began: 11:25,Time seclusion ended: 11:27,X,,
177,COH_RISI_06_Part29,School: Harmony HillIncident Description,Date of Incident: 9/20/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:15,Time seclusion ended: 9:25,Children's control position,,
178,COH_RISI_06_Part3,School: Harmony HillIncident Description,Date of Incident: 2/8/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:44,Time seclusion ended: 1:58,Children's control position,,
179,COH_RISI_06_Part30,School: Harmony HillIncident Description,Date of Incident: 9/21/16,Time restraint ended:,Seclusion utilized? no,Time seclusion ended:,--,Children's control position,,
180,COH_RISI_06_Part31,School: Harmony HillIncident Description,Date of Incident: 9/23/16,Time restraint ended: ---,Seclusion utilized? yes,Time seclusion began: 2:05,Time seclusion ended: 2:25,aggressive language towards other students and raised his fists so the door was locked.,,
181,COH_RISI_06_Part32,School: Harmony HillIncident Description,Date of Incident: 9/26/16,Time restraint ended: ---,Seclusion utilized? yes,Time seclusion began: 11:01,Time seclusion ended: 11:15,Children's control position,,
182,COH_RISI_06_Part33,School: Harmony HillIncident Description,Date of Incident: 2/8/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:44,Time seclusion ended: 1:58,Children's control position,,
183,COH_RISI_06_Part34,School: Harmony HillIncident Description,Date of Incident: 2/10/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:03,Time seclusion ended: 2:25,Children's control position,,
184,COH_RISI_06_Part35,School: Harmony HillIncident Description,Date of Incident: 2/10/17,Time restraint began: 1:05,Time restraint ended: 1:14,Time seclusion ended:,Transport utilized?,Children's control position,,
185,COH_RISI_06_Part36,School: Harmony HillIncident Description,Date of Incident: 3/22/17,Time restraint began: 10:22,Time restraint ended: 10:37,Time seclusion ended:,Transport utilized? no,X Children's control position,,
186,COH_RISI_06_Part37,School: Harmony HillIncident Description,Date of Incident: 3/22/17,Time restraint began: 10:45,Time restraint ended: 11:00,Time seclusion ended:,Transport utilized? no,X Children's control position,,
187,COH_RISI_06_Part38,School: Harmony HillIncident Description,Date of Incident: 3/22/17,Time restraint began: 9:52,Time restraint ended: 9:58,Time seclusion ended:,Transport utilized? no,X,,
188,COH_RISI_06_Part39,School: Harmony HillIncident Description,Date of Incident: 3/22/17,Time restraint began: 9:38,Time restraint ended: 9:44,Time seclusion ended:,Transport utilized? no,Children's control position,,
189,COH_RISI_06_Part4,School: Harmony HillIncident Description,Date of Incident: 5/18/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:09,"Time seclusion ended: first-12:30,",Children's control position,,
190,COH_RISI_06_Part40,School: Harmony HillIncident Description,Date of Incident: 4/10/17,Time restraint began: 11: 10,Time restraint ended: 11:23,Time seclusion ended:,Transport utilized? yes,Children's control position,,
191,COH_RISI_06_Part41,School: Harmony HillIncident Description,Date of Incident: 4/11/17,Time restraint began: 11:47,Time restraint ended: 11:48,Time seclusion began: 11:48,Time seclusion ended: 12:15,Children's control position,,
192,COH_RISI_06_Part42,,,,,,,,,
193,COH_RISI_06_Part5,School: Harmony HillIncident Description,Date of Incident: 4/3/17,Time restraint began: 2:13,Time restraint ended: 2:15,Time seclusion ended:,Transport utilized?,X_Children's control position,,
194,COH_RISI_06_Part6,School: Harmony HillIncident Description,Date of Incident: 4/7/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:50,Time seclusion ended: 1:35- Had,- Children's control position,,
195,COH_RISI_06_Part7,School: Harmony HillIncident Description,Date of Incident: 4/7/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 11:55,Time seclusion ended: 12:15,Children's control position,,
196,COH_RISI_06_Part8,School: Harmony HillIncident Description,Date of Incident: 4/27/17,Time restraint began: at 2:00,Time restraint ended: at 2:1 7,Time seclusion began: 1:45,Time seclusion ended: 2:00,,,
197,COH_RISI_06_Part9,School: Harmony HillIncident Description,Date of Incident: 4/7/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 10:35,Time seclusion ended: 10:52,Children's control position,,
198,COH_RISI_07_Part1,School: Harmony HillIncident Description,Date of Incident: 5/2/17,Time restraint began: 12:20,Time restraint ended: 12:25,Time seclusion ended:,Transport utilized? Yes,Children's control position,,
199,COH_RISI_07_Part10,School: Harmony HillIncident Description,Date of Incident: 10/12/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:08,Time seclusion ended: 1:30,Children's control position,,
200,COH_RISI_07_Part11,School: Harmony HillIncident Description,Date of Incident: 10/12/16,Time restraint began: 2:05,Time restraint ended: 2:13,Time seclusion ended:,Transport utilized?,Children's control position,,
201,COH_RISI_07_Part12,School: Harmony HillIncident Description,Date of Incident: 1/31/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:15,Time seclusion ended: 2:26,Children's control position,,
202,COH_RISI_07_Part13,School: Harmony HillIncident Description,Date of Incident: 2/13/17,Time restraint began: 11:20,Time restraint ended: 11:40,Time seclusion began: 11:40,in and out holding,X Children's control position,,
203,COH_RISI_07_Part14,School: Harmony HillIncident Description,Date of Incident: 2/14/17,Time restraint began: 10:23,Time restraint ended: 10:25,Time seclusion began: 10:15,Time seclusion ended: 10:23-,Children's control position,,
204,COH_RISI_07_Part15,School: Harmony HillIncident Description,Date of Incident: 2/28/17,Time restraint began: 2:45,Time restraint ended: 3:10,Time seclusion began: 2:40,Time seclusion ended: 2:45,Children's control position with support on legs,,
205,COH_RISI_07_Part16,School: Harmony HillIncident Description,Date of Incident: 4/6/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:50,Time seclusion ended: 2:08,X Children's control position with support on legs,,
206,COH_RISI_07_Part17,School: Harmony HillIncident Description,Date of Incident: 4/6/17,Time restraint began: 9:13,Time restraint ended: 9:20,Time seclusion began: 9:06,Time seclusion ended: 9:12 then,<_Children's control position with support on legs,,
207,COH_RISI_07_Part18,School: Harmony HillIncident Description,Date of Incident: 10/17/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:05,Time seclusion ended: 9:12,Children's control position,,
208,COH_RISI_07_Part19,School: Harmony HillIncident Description,Date of Incident: 10/17/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 11:25,Time seclusion ended: 11:36,Children's control position,,
209,COH_RISI_07_Part2,School: Harmony HillIncident Description,Date of Incident: 5/10/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 10:33,Time seclusion ended: 10:50,Children's control position,,
210,COH_RISI_07_Part20,School: Harmony HillIncident Description,Date of Incident: 10/18/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:45,Time seclusion ended: 1:07,Children's control position,,
211,COH_RISI_07_Part21,School: Harmony HillIncident Description,Date of Incident: 10/20/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:40,Time seclusion ended: 12:52,Children's control position,,
212,COH_RISI_07_Part22,School: Harmony HillIncident Description,Date of Incident: 10/26/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:05,Time seclusion ended: 9:23,Children's control position,,
213,COH_RISI_07_Part23,School: Harmony HillIncident Description,Date of Incident: 10/26/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 10:50,Time seclusion ended: 10:55,Children's control position,,
214,COH_RISI_07_Part24,School: Harmony HillIncident Description,Date of Incident: 10/27/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:32,Time seclusion ended: 9:46,Children's control position,,
215,COH_RISI_07_Part25,School: Harmony HillIncident Description,Date of Incident: 10/27/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:45,Time seclusion ended: 9:56,Children's control position,,
216,COH_RISI_07_Part26,School: Harmony HillIncident Description,,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 8:40,Time seclusion ended: 9:10,Children's control position,,
217,COH_RISI_07_Part27,School: Harmony HillIncident Description,Date of Incident: 11/1/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:50,Time seclusion ended: 10:05,Children's control position,,
218,COH_RISI_07_Part28,School: Harmony HillIncident Description,Date of Incident: 11/1/16,Time restraint began: 11:57,Time restraint ended: 12:05,Time seclusion began: 11:53,Time seclusion ended: 11:57,,,
219,COH_RISI_07_Part29,School: Harmony HillIncident Description,Date of Incident: 11/1/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:10,Time seclusion ended: 12:25,Children's control position,,
220,COH_RISI_07_Part3,School: Harmony HillIncident Description,Date of Incident: 6/6/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:48,Time seclusion ended: 10:00,Children's control position,,
221,COH_RISI_07_Part30,School: Harmony HillIncident Description,Date of Incident: 11/4/16,Time restraint began: 9:24,Time restraint ended: 9:27,Time seclusion ended:,Transport utilized? no,X,,
222,COH_RISI_07_Part31,School: Harmony HillIncident Description,Date of Incident: 11/4/16,Time restraint began: 9:06,Time restraint ended: 9:14,Time seclusion ended:,Transport utilized? no,X,,
223,COH_RISI_07_Part32,School: Harmony HillIncident Description,Date of Incident: 11/7/16,Time restraint ended:,Seclusion utilized? no,Time seclusion began: 10:30,Time seclusion ended: 10:35,Children's control position,,
224,COH_RISI_07_Part33,School: Harmony HillIncident Description,Date of Incident: 11/7/16,Time restraint began: 10:20,Time restraint ended: 10:26,Time seclusion ended:,Transport utilized? no,Children's control position,,
225,COH_RISI_07_Part34,School: Harmony HillIncident Description,Date of Incident: 11/9/16,Time restraint began: 9:15,Time restraint ended: 9:18,Time seclusion began: 9:07,Time seclusion ended: 9:15,Children's control position,,
226,COH_RISI_07_Part35,School: Harmony HillIncident Description,Date of Incident: 11/15/16,Time restraint began: 12:40,Time restraint ended: 12:45,Time seclusion ended:,Transport utilized? no,Children's control position,,
227,COH_RISI_07_Part36,School: Harmony HillIncident Description,Date of Incident: 11/21/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:24,Time seclusion ended: 2:30,Children's control position,,
228,COH_RISI_07_Part37,School: Harmony HillIncident Description,Date of Incident: 11/22/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:10,Time seclusion ended: 9:25,Children's control position,,
229,COH_RISI_07_Part38,School: Harmony HillIncident Description,Date of Incident: 11/21/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:54,Time seclusion ended: 1:06,Children's control position,,
230,COH_RISI_07_Part4,School: Harmony HillIncident Description,Date of Incident: 9/15/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 11:45,Time seclusion ended: 11:55,Children's control position,,
231,COH_RISI_07_Part5,School: Harmony HillIncident Description,Date of Incident: 5/16/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:05,Time seclusion ended: 2:23,Children's control position,,
232,COH_RISI_07_Part6,School: Harmony HillIncident Description,Date of Incident: 9/14/16,Time restraint began: 9:05,Time restraint ended: 9:08,Time seclusion began: 9:08,Time seclusion ended: 9:15,Children's control position,,
233,COH_RISI_07_Part7,School: Harmony HillIncident Description,Date of Incident: 9/20/16,Time restraint began: 9:05,Time restraint ended: 9:15,Time seclusion ended: --,Transport utilized? no,,,
234,COH_RISI_07_Part8,School: Harmony HillIncident Description,Date of Incident: 9/21/16,Time restraint began: 9:12,Time restraint ended: 9:18,Time seclusion ended:,--,X Children's control position,,
235,COH_RISI_07_Part9,School: Harmony HillIncident Description,Date of Incident: 10/12/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 10:00,Time seclusion ended: 10:10,,,
236,COH_RISI_08_Part1,School: Harmony HillIncident Description,Date of Incident: 11/28/16,Time restraint ended:,Seclusion utilized?,Time seclusion began: 10:43,Time seclusion ended: 10:50,Children's control position,,
237,COH_RISI_08_Part10,School: Harmony HillIncident Description,Date of Incident: 12/14/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 10:41,Time seclusion ended: 10:54,,,
238,COH_RISI_08_Part11,School: Harmony HillIncident Description,Date of Incident: 12/15/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:55,Time seclusion ended: 1:02,Children's control position,,
239,COH_RISI_08_Part12,School: Harmony HillIncident Description,Date of Incident: 12/15/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:32,Time seclusion ended: 2:42,Children's control position,,
240,COH_RISI_08_Part13,School: Harmony HillIncident Description,Date of Incident: 12/15/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 2:08,Time seclusion ended: 2:28,Children's control position,,
241,COH_RISI_08_Part14,School: Harmony HillIncident Description,Date of Incident: 12/16/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 8:48,Time seclusion ended: 9:19,Children's control position,,
242,COH_RISI_08_Part15,School: Harmony HillIncident Description,Date of Incident: 12/19/16,Time restraint began: 10:26,Time restraint ended: 10:30,Time seclusion ended:,Transport utilized? no,x,,
243,COH_RISI_08_Part16,School: Harmony HillIncident Description,Date of Incident: 12/19/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 11:40,Time seclusion ended: 12,Children's control position,,
244,COH_RISI_08_Part17,School: Harmony HillIncident Description,Date of Incident: 12/20/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:03,Time seclusion ended: 9:13,Children's control position,,
245,COH_RISI_08_Part18,School: Harmony HillIncident Description,Date of Incident: 12/20/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:52,Time seclusion ended: 2:05 (fell,Children's control position,,
246,COH_RISI_08_Part19,School: Harmony HillIncident Description,Date of Incident: 12/21/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:31,Time seclusion ended: 1:05,Children's control position,,
247,COH_RISI_08_Part2,School: Harmony HillIncident Description,Date of Incident: 11/29/16,Time restraint began: 12:28,Time restraint ended: 12:31,Time seclusion ended:,Transport utilized? no,X,,
248,COH_RISI_08_Part20,School: Harmony HillIncident Description,Date of Incident: 12/22/16,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:46,Time seclusion ended: 10:15,Children's control position,,
249,COH_RISI_08_Part21,School: Harmony HillIncident Description,Date of Incident: 1/3/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 12:39,Time seclusion ended: 12:45,Children's control position,,
250,COH_RISI_08_Part22,School: Harmony HillIncident Description,Date of Incident: 1/3/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 11:54,Time seclusion ended: 12:06,Children's control position,,
251,COH_RISI_08_Part23,School: Harmony HillIncident Description,Date of Incident: 1/3/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 9:23,Time seclusion ended: 9:55,Children's control position,,
252,COH_RISI_08_Part24,School: Harmony HillIncident Description,Date of Incident: 1/3/17,Time restraint ended:,Seclusion utilized? yes,Time seclusion began: 1:10,Time seclusion ended: 1:23,Children's control position,,
253,COH_RISI_08_Part25,School: Harmony HillIncident Description,Date of Incident: 1/9/17,Time restraint began: 10:07,Time restraint ended: 10:20,Time seclusion began: 10:20,Time seclusion ended: 10:32,Children's control position,,
254,COH_RISI_08_Part26,School: Harmony HillIncident Description,Date of Incident: 1/9/17,Time restraint began: 1:35,Time restraint ended: 1:42,Time seclusion ended:,Transport utilized? no,Children's control position,,
255,COH_RISI_08_Part27,School: Harmony HillIncident Description,Date of Incident: 1/10/17,Time restraint began: 10:51,Time restraint ended: 10:57,Time seclusion ended:,Transport utilized? no,Children's control position,,
256,COH_RISI_08_Part28,School: Harmony HillIncident Description,Date of Incident: 1/23/17,Time restraint began: 10:32,Time restraint ended: 10:37,Time seclusion began: 10:37,Time seclusion ended: 10:48,X,,
257,COH_RISI_08_Part29,School: Harmony HillIncident Description,Date of Incident: 1/25/17,Time restraint began: 10:30,Time restraint ended: 10:34,Time seclusion began: 10:42,Time seclusion ended: 11:00,X Children's control position,,
