,0,1,2,3,4,5,6
512,,,"Evan ran out of OT. Running the halls.  Support was called, tried",,,,
513,2018-2019,12/4/18 9:30 AM,getting physical. Escorted to timeout.,Intervention: Time Out (minutes),,,
514,,,was becoming disruptive and making threats to students/staff.,,,,
515,,,"He left class, climbing on stairs, became unsafe. He was escorted to",,,,
516,2018-2019,12/14/18 12:30 PM,timeout.,Intervention: Time Out (minutes),,,
517,,,was frustrated from having to return swim goggles. He hit,,,,
518,2018-2019,6/20/19 12:00 AM,and eloped. Escorted to timeout.,Intervention: Time Out (minutes),,,
519,,,As another student entered the classroom.  began to berate,,,,
520,,,"her, calling her a ""crack Whore"" and threatening to knock her out.  He",,,,
521,,,picked up a chair and was threatening to throw it threw a window. He,,,,
522,2018-2019,7/19/18 11:35 AM,was taken to time out.,Intervention: Time Out (minutes),,,
523,,,In hall being destructive. Support called. He went to the cafeteria. Had,,,,
524,,,"something in his hand was told to drop it, he refused. Escorted to",,,,
525,2018-2019,1/14/19 11:15 AM,time out.,Intervention: Time Out (minutes),,,
526,,,"Yellin and throwing things at staff. Was taken for a break.  Yelling,",,,,
527,2018-2019,11/1/18 12:35 PM,"kicking and hitting staff.  Support called, taken to timeout.",Intervention: Time Out (minutes),,,
528,,,"Student has been out of class, running around school.  Yelling/arguing",,,,
529,,,"with staff. Not following directions. Scratching staff. Support called,",,,,
530,2018-2019,1/9/19 9:35 AM,escorted to timeout.,Intervention: Time Out (minutes),,,
531,,,"Throwing objects.  Used calming room, seemed calm, came back",,,,
532,,,started work and began throwing objects. Support called. Student was,,,,
533,2018-2019,1/17/19 10:20 AM,brought to time out.,Intervention: Time Out (minutes),,,
534,,,"Student came in having a rough time, calling staff names.  Made it to",,,,
535,,,"the calming room.  Began to be unsafe, throwing objects, calling staff",,,,
536,2018-2019,2/26/19 9:40 AM,names.  Support called.  Taken to time out.,Intervention: Time Out (minutes),,,
537,,,He was asked to stop standing on chair. Said the teacher was rude.,,,,
538,,,Another student said he couldn't be around .   then,,,,
539,,,threw a pencil at that student. Both students began throwing pencils.,,,,
540,2018-2019,3/7/19 11:45 AM,"hit staff, Support called escorted to time out.",Intervention: Time Out (minutes),,,
541,,,Threw hand sanitizer and pencils after seeing he didn't earn points for,,,,
542,2018-2019,3/8/19 9:30 AM,"a subject. Because he threw objects earlier.  Support called, time out.",Intervention: Time Out (minutes),,,
543,,,Student began swearing at other students.  Throwing objects at,,,,
544,2018-2019,3/8/19 12:20 PM,"staff/students. Support called, escorted to timeout.",Intervention: Time Out (minutes),,,
545,,,Student go into a verbal altercation with another student.  Staff,,,,
546,2018-2019,3/11/19 12:00 PM,"intervened. Support called, time out.",Intervention: Time Out (minutes),,,
547,,,"Arguing with peer, name calling.  Staff went to talk to him.  He tried to",,,,
548,,,"stab adult in face with pencil.  Continued to be unsafe. Support called,",,,,
549,2018-2019,4/29/19 9:05 AM,timeout,Intervention: Time Out (minutes),,,
550,,,Student became disrespectful to adults. Ripped up menu and threw it,,,,
551,,,at adult.  Pushed adult/spit an adult/kicked and scratched. Support,,,,
552,2018-2019,5/3/19 8:40 AM,called. Timeout.,Intervention: Time Out (minutes),,,
553,,,"Student became aggressive, throwing objects at peers. Support called.",,,,
554,,,Verbally aggressive towards peer.  He told student that they should,,,,
555,2018-2019,5/28/19 9:20 AM,commit suicide.  Support escort to timeout.,Intervention: Time Out (minutes),,,
556,,,"Student did not complete work, became aggressive when asked to do",,,,
557,,,it.  Staff was able to get him to leave class. Continued to be aggressive,,,,
558,2018-2019,6/12/19 12:00 AM,towards staff.,Intervention: Time Out (minutes),,,
559,,,was arguing with his teacher about his desk.  He ran at her,,,,
560,,,like he was going to hit her.  Staff intervened.  He threw punches and,,,,
561,,,"was kicking trying to hit teacher.  Small child used. Support called,",,,,
562,2018-2019,10/25/18 12:00 AM,escorted to timeout.,Intervention: Time Out (minutes),,,
563,,,"Student asked for a break, when he returned someone was sitting in",,,,
564,,,the chair he wanted.  He got agitated and walked out. Came back,,,,
565,,,"started kicking door, yelling at staff  to let him in.  When told when /if",,,,
566,2018-2019,12/4/18 12:03 PM,"he was ready. He attacked teacher, tried hitting her.",Intervention: Time Out (minutes),,,
567,,,Class lost ECT and computer time because of behaviors.  Student got,,,,
568,,,"upset and walked out of class, kicking windows/walls and punching",,,,
569,2018-2019,12/4/18 12:45 PM,staff.,Intervention: Time Out (minutes),,,
570,,,mad comment to another student. The other student swung,,,,
571,2018-2019,12/3/18 8:30 AM,clipboard.   hit student with clipboard and it broke.,Intervention: Time Out (minutes),,,
572,,,"Non complaint- Didn't want to go back to class. Unsafe, climbing on",,,,
573,2018-2019,12/3/18 12:30 PM,railing.,Intervention: Time Out (minutes),,,
574,,,"In tutorial, trying to break light and kicking wall. Maintenance asked",,,,
575,2018-2019,12/14/18 11:40 AM,him to stop. He was asked to move location.,Intervention: Time Out (minutes),,,
576,,,"Yelling at staff, banging on door. Unsafe behavior. Running halls.",,,,
577,2018-2019,12/3/18 10:30 AM,Support called. Time out.,Intervention: Time Out (minutes),,,
578,,,Was asked to get down off the closet. He got mad and ran out of,,,,
579,,,"class. When asked to stop running, he ran out of school and off",,,,
580,2018-2019,12/4/18 12:00 PM,property. Support called.,Intervention: Time Out (minutes),,,
581,,,Student began swearing at staff.  Left class. Ran outside. Escorted to,,,,
582,2018-2019,1/24/19 8:30 AM,timeout.,Intervention: Time Out (minutes),,,
583,,,"Sitting at the rocking chairs. Yelling and standing on the chairs, was",,,,
584,2018-2019,1/24/19 1:25 PM,asked to stop.  Support called. Escorted to timeout.,Intervention: Time Out (minutes),,,
585,,,Student was given direction to start in another location with staff.,,,,
586,,,Didn't follow directions began arguing with support/staff. Was taken,,,,
587,2018-2019,1/25/19 8:10 AM,to timeout.,Intervention: Time Out (minutes),,,
588,,,"Verbally targeting peers.  Left class.  Returned, yelling, singing and",,,,
589,2018-2019,3/11/19 12:33 PM,interrupting lesson.  Climbing on tables and chairs. Support called,Intervention: Time Out (minutes),,,
590,,,Didn't want to do I Ready. Was walking the room changing points on,,,,
591,,,"other students charts.Asked to stop, ran out of room, climbing on",,,,
592,2018-2019,4/10/19 9:30 AM,"stairs.  Support called, ran from support, escorted to timeout.",Intervention: Time Out (minutes),,,
593,,,"Was asked to leave class and take a break.  Ran out, writing on walls,",,,,
594,,,running from staff. Tried to leave building. Support called.  Escorted to,,,,
595,2018-2019,4/10/19 12:05 PM,"timeout, he ran out. Support called, escorted to timeout.",Intervention: Time Out (minutes),,,
596,,,"In gym with PT staff.  went outside for exercise,  refused to",,,,
597,,,"participate. Became unsafe, physically aggressive towards staff. Biting",,,,
598,2018-2019,8/3/18 9:55 AM,"staff, leaving marks.  Support called taken to time out to calm.",Intervention: Time Out (minutes),,,
599,,,Student was using bathroom. Staff went to check on him and he was,,,,
600,,,"sitting in the sink. Wouldn't get down, support called, he was taken to",,,,
601,,,time out. He tried to leave support called again and taken back to,,,,
602,2018-2019,9/19/18 1:45 PM,time out.,Intervention: Time Out (minutes),,,
603,,,Student did not get color he wanted in GYM.  Tried to hit another,,,,
604,,,"student.. When stopped, he began to swear, hit, kick and punch staff.",,,,
605,2018-2019,11/9/18 1:35 PM,Taken to time out.,Intervention: Time Out (minutes),,,
606,,,got upset after being told he would not be pulled on the,,,,
607,,,scooter because another student needed to be. Another class mate,,,,
608,,,"offered, he fell off and got upset and started kicking, biting and",,,,
609,2018-2019,11/13/18 1:30 PM,throwing gym equipment.  Eventually taken to time out.,Intervention: Time Out (minutes),,,
610,2018-2019,11/20/18 12:35 PM Student was kicking and biting staff,,Intervention: Time Out (minutes),,,
611,,,Student became upset when another student was in a preferred chair.,,,,
612,,,"He went after that student saying it was his.  Staff intervened, student",,,,
613,2018-2019,11/26/18 1:05 PM,bit staff.  He walked to timeout.,Intervention: Time Out (minutes),,,
614,,,"Student did not warn preferred item for choice, he became upset. He",,,,
615,,,went after another student. Staff walked him into hall.  He began to,,,,
616,2018-2019,1/11/19 1:55 PM,"bite, kick and punch. Support escorted to time out.",Intervention: Time Out (minutes),,,
617,,,Entering life skills he did not get preferred chair at table.  Became,,,,
618,,,physically aggressive towards staff/biting/ attempting to get students.,,,,
619,,,"Support called, time out. Attempted to break glasses in time out. Told",,,,
620,2018-2019,3/1/19 12:35 PM,staff he wanted to kill himself. calmed. then to the nurse.,Intervention: Time Out (minutes),,,
621,,,"Became unsafe, physically aggressive, biting staff. When time for LLI,",,,,
622,,,"hallway, Still unsafe. Support called , timeout, calmed , nurse.",,,,
623,2018-2019,3/29/19 8:35 AM,Returned to class.,Intervention: Time Out (minutes),,,
624,,,"Stephen did not earn game in math became unsafe, physically",,,,
625,,,"aggressive, attempting to bite, hallway. Support to timeout, calmed,",,,,
626,2018-2019,4/2/19 12:05 PM,nurse back to schedule,Intervention: Time Out (minutes),,,
627,,,"Student did not want to do activity, he began biting, kicking and",,,,
628,,,pinching.  Went to nurse because feeding tube was beeping.  In nurse,,,,
629,,,"he wanted to chew gum and became physical again, escorted to",,,,
630,2018-2019,5/10/19 10:20 AM,timeout.,Intervention: Time Out (minutes),,,
631,,,"Student did not want to go to PT. Became physical (biting, hitting and",,,,
632,2018-2019,5/16/19 1:30 PM,kicking) towards staff. Support called taken to timeout.,Intervention: Time Out (minutes),,,
633,,,Did not want to complete missed work before ECT. He became mad,,,,
634,,,"throwing materials and hitting, kicking and biting.  Escorted to",,,,
635,2018-2019,5/17/19 1:00 PM,timeout until calm.,Intervention: Time Out (minutes),,,
636,,,"Refused to do work, became angry.  Walked out of class. Roaming",,,,
637,2018-2019,7/30/18 12:35 PM,halls. Student refused to close front door of school.,Intervention: Time Out (minutes),,,
638,,,"While in OT student refused to do work, crumpled up paper and",,,,
639,,,threw it.  Para arrived to pick him up he was hiding under table.  He,,,,
640,,,"refused to talk to para, threw papers again and tried to knock over",,,,
641,,,"equipment. Climbed on table and kicked staff. Support called,",,,,
642,2018-2019,8/15/18 9:00 AM,escorted to time out.,Intervention: Time Out (minutes),,,
643,,,Student became frustrated and eloped from class. very unsafe.,,,,
644,,,"Support called, he kicked another student in the hall, Kicking staff,",,,,
645,2018-2019,9/7/18 12:30 PM,escorted to time out.,Intervention: Time Out (minutes),,,
646,,,"Became unsafe in reading.  Support called, still being unsafe,",,,,
647,2018-2019,9/10/18 9:30 AM,physically aggressive with staff. Escorted to timeout.,Intervention: Time Out (minutes),,,
648,,,"Did no work today, he wanted to free time. He was told he needed to",,,,
649,,,"do work, he got angry. Ran out of class. Kicked staff and continued to",,,,
650,2018-2019,9/10/18 10:55 AM,"be unsafe. Support called, taken to time out.",Intervention: Time Out (minutes),,,
651,,,"Refused to do work, upset he didn't get his color in PE. He sat and",,,,
652,,,kicked the door. Ran out of class. Kicked another student and then,,,,
653,2018-2019,9/24/18 11:20 AM,staff.  Escorted to time out.,Intervention: Time Out (minutes),,,
654,,,"Student became frustrated, eloped to the hall took a break. When",,,,
655,,,staff opened the door for another student to exit. Nick started kicking,,,,
656,,,"and hitting staff.  Staff tried to give him space he continued to purse,",,,,
657,2018-2019,10/3/18 10:00 AM,"punch and kick. Restraint used, support escorted to time out.",Intervention: Time Out (minutes),,,
658,,,"Student didn't want to go to reading, became physical with staff.",,,,
659,2018-2019,10/4/18 10:40 AM,Support called escorted to timeout.,Intervention: Time Out (minutes),,,
660,,,"Student was upset because he didn't earn choice time, eloped to",,,,
661,,,"hallway, began banging on door when staff opened door attacked",,,,
662,,,"staff.  Support called, student ran to bathroom, hit staff, taken to time",,,,
663,2018-2019,10/4/18 1:00 PM,out.,Intervention: Time Out (minutes),,,
664,,,"didn't want to complete his work, offered hurdle help, tried",,,,
665,,,"distractions. Became violent in class, then again in hall. Support",,,,
666,2018-2019,11/20/18 11:10 AM,called.,Intervention: Time Out (minutes),,,
667,,,was avoiding work in class. Tried to redirect and hurdle help. He,,,,
668,,,eloped. Support called. He became physical aggressive when support,,,,
669,2018-2019,11/26/18 10:25 AM,should up.,Intervention: Time Out (minutes),,,
670,,,"Mad about losing points during ELA, left the room with out",,,,
671,2018-2019,4/1/19 10:40 AM,permission.,Intervention: Time Out (minutes),,,
672,,,Mad he had to complete point sheet and left room.  Unsafe behavior,,,,
673,2018-2019,4/1/19 11:25 AM,"on stairs. Kicking adults,",Intervention: Time Out (minutes),,,
674,,,"When trying to get student off the bus, Wes refused and began to",,,,
675,2018-2019,8/15/18 7:35 AM,punch and kick.  Escorted to time out.,Intervention: Time Out (minutes),,,
676,,,"Came off the bus upset, refused to go to class. He spit and kicked at",,,,
677,,,Walked around the halls and spit at staff. Resulted in,,,,
678,2018-2019,10/4/18 9:15 AM,restraint and time out.,Intervention: Time Out (minutes),,,
679,,,Playing kick ball and he got hurt in the process. That upset him when,,,,
680,,,he thought he was laughing at him. He came at staff aggressively.,,,,
681,2018-2019,10/16/18 10:12 AM,Taken to timeout,Intervention: Time Out (minutes),,,
682,,,Wesley got upset because another student picked a movie for ECT.,,,,
683,,,He was asked to be respectful. Started to call other student names,,,,
684,2018-2019,12/6/18 12:35 PM,and left class and then the building.,Intervention: Time Out (minutes),,,
685,,,"Upset about a previous class, Staff reminded him that class was over.",,,,
686,,,"He became verbally aggressive, threatened her with physical harm.",,,,
687,,,"Staff intervened and Wesley became physically aggrieve, punching",,,,
688,,,"and kicking.  He was moved to the hall, he attacked the teacher and",,,,
689,2018-2019,12/18/18 9:00 AM,was brought to time out.,Intervention: Time Out (minutes),,,
690,,,He got upset in reading because he could not use a laptop. He got,,,,
691,,,"upset. Refused to read and participate. Staff tried to help him, he",,,,
692,2018-2019,3/18/19 12:50 PM,made threats and charge staff,Intervention: Time Out (minutes),,,
693,,,refused to leave classroom. He took off out of building. Support,,,,
694,,,called.  kept walking off campus. Resisting directions while,,,,
695,2018-2019,7/26/18 10:00 AM,walking back to school. Escorted to time out.,Intervention: Time Out (minutes),,,
696,,,Having a difficult time in tech.  Was asked to leave. Ran into,,,,
697,,,bathroom. Returned to class. Climbing in stairwell. Support called.,,,,
698,2018-2019,10/1/18 10:40 AM,Escorted to time out.,Intervention: Time Out (minutes),,,
699,,,"Needed to work outside of room, became angry and started kicking",,,,
700,,,and throwing items.  Walked into (cid:415)me out to calm.,,,,
701,2018-2019,10/3/18 10:02 AM,,Intervention: Time Out (minutes),,,
702,,,"Walking out of calming, very escalated. Throwing items.  Support",,,,
703,,,"called. Attempted to hit staff with items.  Escorted to timeout, ripping",,,,
704,2018-2019,10/3/18 1:15 PM,clothes.,Intervention: Time Out (minutes),,,
705,,,Ignored by staff while he was in rocking chair. Walked outside.,,,,
706,2018-2019,10/12/18 11:08 AM,Support called he walked to the calming room.,Intervention: Time Out (minutes),,,
707,,,"Needed to leave class, he was ripping up his work.  He was playing",,,,
708,,,with a rug in the hall. Support called due to escalation/ He was walked,,,,
709,,,to the 7th grade hall.  He left and took off down towards art. Support,,,,
710,2018-2019,10/22/18 1:25 PM,escorted to time out.,Intervention: Time Out (minutes),,,
711,,,"Continued to escalate, spitting at staff and throwing paper.  Trying to",,,,
712,2018-2019,10/24/18 10:00 AM,kick hole in wall.  Escorted to timeout.,Intervention: Time Out (minutes),,,
713,,,"Unsafe, throwing plastic garbage cans and shoes in hall.  Sat in hall,",,,,
714,2018-2019,10/24/18 10:35 AM,began to tear his shirt off.  Escorted to time out.,Intervention: Time Out (minutes),,,
715,,,"upset about having to do math,  Blocked himself in the calming",,,,
716,,,room. Hitting chair against the wall. Support called. Escorted to,,,,
717,2018-2019,10/26/18 9:38 AM,timeout. A supine was performed because of unsafe behavior.,Intervention: Time Out (minutes),,,
718,,,"Eloping outside, threw stick at cars. He was escorted to time out.",,,,
719,,,Continued to escalate while ripping off his socks. Went into calming,,,,
720,,,room tipped over a desk and broke it and removed screw for light,,,,
721,2018-2019,11/7/18 10:40 AM,switch.  Support called.,Intervention: Time Out (minutes),,,
722,,,took off out the class after learning he didn't earn choice time,,,,
723,,,due to behavior at bowling alley.  Threw shoes down hall. Took off.,,,,
724,2018-2019,11/16/18 12:45 PM,Support called.  Behavior escalated. Escorted to time out.,Intervention: Time Out (minutes),,,
725,,,He left the gym .(staff didn't hear him ask for a break)  He was,,,,
726,,,"swearing, throwing his shoes off.  Down in the tutorial, he walked out.",,,,
727,2018-2019,11/30/18 11:20 AM,"Threw a chair and left.  Support called, escorted to timeout.",Intervention: Time Out (minutes),,,
728,,,"Eloping towards exit, kicking walls, making threats. Support called.",,,,
729,,,Ran into calming room and started kicking walls. He was walked into,,,,
730,2018-2019,3/12/19 11:28 AM,time out room.,Intervention: Time Out (minutes),,,
731,,,"Went into calming room, kicking wall. Told to go into timeout. He was",,,,
732,2018-2019,3/12/19 12:55 PM,helped into timeout to cool down. Very elevated.,Intervention: Time Out (minutes),,,
733,,,walked out of calming room after he was told he needed to,,,,
734,,,finish his Spanish work. He swore and went to racking chair. Support,,,,
735,,,called and he walked outside of front door. Escorted to timeout to,,,,
736,2018-2019,6/20/19 10:30 AM,calm.,Intervention: Time Out (minutes),,,
737,,,became upset after being given a direction.  Escalated,,,,
738,,,"verbally.  He was asked to leave and take a break,  He started to flip",,,,
739,2018-2019,11/8/18 12:27 PM,and throw chairs.  He continued to escalate. Escorted out of class.,Intervention: Time Out (minutes),,,
740,,,"Doing math, asked to put her name on the paper. She crawled under",,,,
741,,,"table, ripped up paper.  After 10 minutes, support called and she",,,,
742,,,"walked to the hall.  She road elevator, began kicking. Escorted to time",,,,
743,2018-2019,12/12/18 12:40 PM,out. Became aggressive. Eventually went to nurse.,Intervention: Time Out (minutes),,,
744,,,"Got an answer wrong, ripped up paper and was asked to walk out of",,,,
745,,,"the room. Walked around the building. Took off shoes, was yelling",,,,
746,2018-2019,7/16/18 9:35 AM,and was placed in time out.,Intervention: Time Out (minutes),,,
747,,,Was asked to complete work before he could have 1/2 ECT. Became,,,,
748,,,upset and ran out of room.  Attempted to calm in sensory room but,,,,
749,,,when reminded of expectations he threw items at staff and left room.,,,,
750,2018-2019,7/16/18 1:15 PM,"Support called, escorted to timeout for cool down period.",Intervention: Time Out (minutes),,,
751,,,"During break time,  got frustrated because he could not use",,,,
752,,,"computer game account. He started crying, yelling and refused help.",,,,
753,,,"He escalated and began slamming the keyboard, mouse and computer",,,,
754,2018-2019,7/18/18 11:10 AM,"screen. Support called, escorted to time out .",Intervention: Time Out (minutes),,,
755,,,"was upset about having to go to speech, rest of class was",,,,
756,,,working on science project. He ran from class crying. Teacher,,,,
757,,,explained he would have plenty of time to work on it. He shoved the,,,,
758,2018-2019,12/5/18 12:20 PM,"teacher, support called. Escorted to time out,",Intervention: Time Out (minutes),,,
759,,,Student shut during ELA. Student was given choices that she did not,,,,
760,,,like. She began to throw objects. Ran from staff. There were multiple,,,,
761,2018-2019,7/16/18 9:55 AM,holds/escorts and time out. Alternate location rest of day.,Intervention: Time Out (minutes),,,
762,,,"Student came into school upset, went to designated location was",,,,
763,,,"aggressive toward staff off and on. Went to bathroom upon return,",,,,
764,2018-2019,10/1/18 8:38 AM,tried running from staff.  Kicking staff. Placed in time out.,Intervention: Time Out (minutes),,,
765,,,"Not being safe, standing on desk wanted lights out.  Became",,,,
766,2018-2019,10/1/18 10:20 AM,aggressive toward staff.  Taken to time out.,Intervention: Time Out (minutes),,,
767,,,"Became angry and eloped. She came back to class, escalated, yelling",,,,
768,2018-2019,12/14/18 12:42 PM,attempted to scratch staff and hit staff.  Escorted to timeout.,Intervention: Time Out (minutes),,,
769,,,"Eloped from Math, wandering halls. She attempted to see",,,,
770,,,but became agitated and was hitting staff.  Escorted to,,,,
771,2018-2019,2/26/19 12:15 PM,"timeout, she escalated with physical aggression.  Placed in restraint.",Intervention: Time Out (minutes),,,
772,,,was shown points she earned for library and water park. She,,,,
773,,,became upset when she did not earn them. She stomped on the,,,,
774,,,"teachers foot, ripped up her paper, threw a water cup and tried to",,,,
775,,,"unplug the smartboard.  She had to be restrained. Support called,",,,,
776,2018-2019,7/16/18 12:57 PM,escorted to timeout.,Intervention: Time Out (minutes),,,
777,,,"Refused to go to water park, she didn't earn points for choice time.",,,,
778,,,She became aggressive towards staff. Support called escorted to,,,,
779,2018-2019,7/17/18 1:15 PM,timeout.,Intervention: Time Out (minutes),,,
780,,,became frustrated with a peer and began to yell at him.  She,,,,
781,,,then became frustrated because she missed her turn to talk about,,,,
782,,,being shy in counseling. She was redirected and attempted to hit and,,,,
783,2018-2019,8/3/18 10:44 AM,grab staff.  Support called.,Intervention: Time Out (minutes),,,
784,,,Student didn't like the activity. Started writing on the table and,,,,
785,,,throwing things.  Student was taken out of the room.  Aggression,,,,
786,2018-2019,9/18/18 1:25 PM,towards staff.  Escorted to time out.,Intervention: Time Out (minutes),,,
787,,,Became upset at the end of H & C. While in the hall she eloped. When,,,,
788,,,"staff tried to redirect she hit him.  Support called, escorted to",,,,
789,2018-2019,2/5/19 1:30 PM,timeout.,Intervention: Time Out (minutes),,,
790,,,became upset in Math. When in hall she began to kick and bit,,,,
791,2018-2019,2/26/19 12:15 PM,staff.  Escorted to timeout.,Intervention: Time Out (minutes),,,
792,,,"said she had a headache. Yelling at people. Fell to the floor,",,,,
793,,,"kicking people.  Under desk, kicking things, ripping things up and",,,,
794,2018-2019,3/5/19 12:20 PM,disrupting others.Escorted to timeout.,Intervention: Time Out (minutes),,,
795,,,Upset at Math group. Physically aggressive. She bit staff. Placed in,,,,
796,2018-2019,3/19/19 12:30 PM,"small child, then supine.  Escorted to timeout.",Intervention: Time Out (minutes),,,
797,,,Got into an argument with another student.  The other student hit,,,,
798,,,. Staff intervened and redirected  outside of the class.  Support,,,,
799,2018-2019,3/21/19 9:45 AM,looked for him and was relocated to  a calming room.,Intervention: Time Out (minutes),,,
800,,,Student was being non compliant in following directions. Aggressive,,,,
801,2018-2019,7/17/18 9:30 AM,"towards staff and property.  Support called, escorted to time out.",Intervention: Time Out (minutes),,,
802,,,Student was asked to transition from a reinforcer when student,,,,
803,,,"became non compliant and insubordinate. Support called, escorted to",,,,
804,2018-2019,7/23/18 10:45 AM,time out.,Intervention: Time Out (minutes),,,
805,,,Student had a difficult time transitioning.  Non compliant in following,,,,
806,,,directions and displayed unsafe behavior. Became aggressive when,,,,
807,2018-2019,8/9/18 12:25 PM,support was called. 2 person restraint needed. Escorted to timeout.,Intervention: Time Out (minutes),,,
808,,,"Student was in green room, pulling himself up/down on ledges, was",,,,
809,,,"asked to stop, refused. Unsafe behavior continues. Support called,",,,,
810,2018-2019,8/9/18 12:55 PM,tried to elope on the elevator. Escorted to time out.,Intervention: Time Out (minutes),,,
811,,,was asked to go to a different location to complete work.  The,,,,
812,,,"green room was not available, he became angry and non compliant.",,,,
813,2018-2019,8/10/18 8:35 AM,"Support called. Student started to self harm, escorted to time out.",Intervention: Time Out (minutes),,,
814,,,Student was refusing to follow directions. Student refused to do work.,,,,
815,,,Started to climb on tables and then under desk.  Given choices. Began,,,,
816,2018-2019,8/10/18 9:40 AM,"banging his head with fist. Support called, escorted to timeout",Intervention: Time Out (minutes),,,
817,,,Student refused to follow directions on completing wok.  Eloped from,,,,
818,2018-2019,8/10/18 12:30 PM,class. Support called. He walked himself to timeout.,Intervention: Time Out (minutes),,,
819,,,"got upset because he thought he was losing ECT, continued to",,,,
820,,,"argue.  He ran out of room, was non compliant and then ran outside",,,,
821,,,throwing rocks at the building.  Escorted into the calming room until,,,,
822,2018-2019,7/30/18 12:45 PM,dismissal.,Intervention: Time Out (minutes),,,
823,,,Leave class without permission. He was asked to return and points,,,,
824,,,were taken.  He took down cards from hall.  He was asked to pick,,,,
825,,,"them up, refused. Refused to go to calm room or follow directions.",,,,
826,,,"Escalated to kicking doors, pushing staff. Escorted to timeout by",,,,
827,2018-2019,10/15/18 1:18 PM,support.,Intervention: Time Out (minutes),,,
828,,,Became very upset during skill streaming. She tried to attack another,,,,
829,,,"student, staff intervened. Held  until support arrived.",,,,
830,2018-2019,3/20/19 12:30 PM,timeout. To calm. PAS room rest of day.,Intervention: Time Out (minutes),,,
831,,,Student became upset said he wanted to stab staff with a knife and,,,,
832,,,stab everyone else.  She was told to go take a break in time out. She,,,,
833,2018-2019,3/26/19 9:00 AM,sat quietly until she was ready to talk.,Intervention: Time Out (minutes),,,
834,,,"Did not want to do Math centers, started yelling and screaming at",,,,
835,,,staff. Another student looked at her and she yelled at her. That,,,,
836,,,student moved and worked quietly. After 5 minutes  got up,,,,
837,,,and threw a pencil case at the other student and started hitting that,,,,
838,,,student. Staff separated students and held  in a standing hold,,,,
839,2018-2019,6/19/19 11:30 AM,until support arrived. Taken to timeout.,Intervention: Time Out (minutes),,,
840,,,Student was upset at the activity that class was doing.  He started to,,,,
841,,,lay on the floor and throws things.  Support called and  was,,,,
842,,,"able to walk into the hall. While in the hall he was kicking support,",,,,
843,2018-2019,7/24/18 11:30 AM,taken to time out.,Intervention: Time Out (minutes),,,
844,,,Student did not want to complete an activity in O/T. He became upset,,,,
845,,,at activity and became aggressive with staff.  Unsafe in the hall.  He,,,,
846,2018-2019,11/7/18 9:30 AM,was taken to timeout to calm and returned to class.,Intervention: Time Out (minutes),,,
847,,,was upset that he had to read. He completed all his work but,,,,
848,,,was still upset.  Throwing and ripping things in the class went on for,,,,
849,,,15 minutes.  He was taken to timeout.  Physical restraint used,,,,
850,2018-2019,11/14/18 9:45 AM,because he was hitting his head on the door.,Intervention: Time Out (minutes),,,
851,,,Student ran out of reading when he did not do his work. Support,,,,
852,,,followed him to try and talk with him and calm him down.. He,,,,
853,,,continued to escalate and then tried to hit and pushed past support.,,,,
854,2018-2019,11/15/18 12:20 PM,Escorted to time out.,Intervention: Time Out (minutes),,,
855,,,Did not want to go to reading. He walked out of class. Walked outside.,,,,
856,2018-2019,12/12/18 10:00 AM,He ran again to another location. Walking wall. Taken to time out,Intervention: Time Out (minutes),,,
857,,,Student was told it was time for math. He began pushing chair all over,,,,
858,,,"class. Asked to stop. He went to cubby and began throwing, ripping",,,,
859,2018-2019,12/12/18 12:05 PM,and stabbing things with pencil.  Support called. Taken to time out.,Intervention: Time Out (minutes),,,
860,,,Did not want to do the work he was given.  He became upset and,,,,
861,,,started to kick and push chairs.  Chairs were taken away and began to,,,,
862,2018-2019,12/13/18 9:30 AM,throw things.  Support called escorted to time out.,Intervention: Time Out (minutes),,,
863,,,"Did not want to complete work, left class.  Support called.  Kicking",,,,
864,,,"door and walls. Was given options. He went for walk, when stopped",,,,
865,2018-2019,1/3/19 9:15 AM,he got aggressive. Time out.,Intervention: Time Out (minutes),,,
866,,,"Didn't want to complete ELA, he ripped paper and began banging",,,,
867,,,chairs around.  He was told to sit quietly or leave class.  He left and,,,,
868,,,began ripping paper off the walls and became aggressive with staff.,,,,
869,2018-2019,1/4/19 9:25 AM,Taken to time out,Intervention: Time Out (minutes),,,
870,,,Upset over something that happened in reading.  Kicked doors and,,,,
871,,,started to play with outlet.  He was told it was unsafe ran outside.,,,,
872,2018-2019,5/14/19 12:30 PM,Taken to time out to calm.,Intervention: Time Out (minutes),,,
873,,,Student did not participate in reading.  He came back to class and sat,,,,
874,,,on floor. He crawled out and went to hallway where he began kicking,,,,
875,,,and punching the door and banging his head.  He got physical with,,,,
876,,,"staff, restrained by support. Escorted to timeout and spoke with",,,,
877,2018-2019,6/12/19 10:50 AM,counselor.,Intervention: Time Out (minutes),,,
878,,,"Upset after altercation with bus monitor.  Swearing, hitting and",,,,
879,2018-2019,4/10/19 8:45 AM,kicking support.,Intervention: Time Out (minutes),,,
880,2018-2019,5/8/19 8:05 AM Ran from staff. Ran in front of buses.,,Intervention: Time Out (minutes),,,
881,,,"Ran from staff, in front of buses. Threatened to shoot staff in time",,,,
882,2018-2019,5/9/19 8:05 AM,out.,Intervention: Time Out (minutes),,,
